model,layer,dir_acc_at_1_mean__baseline,dir_acc_at_1_mean__sif_abtt_optimal,dir_acc_at_1_std__baseline,dir_acc_at_1_std__sif_abtt_optimal,existing_acc_mean__baseline,existing_acc_mean__sif_abtt_optimal,existing_acc_std__baseline,existing_acc_std__sif_abtt_optimal,new_acc_mean__baseline,new_acc_mean__sif_abtt_optimal,new_acc_std__baseline,new_acc_std__sif_abtt_optimal,model_display
sentence-transformers/LaBSE,7,0.5958850246478526,0.8491119722229463,0.0098613933372987,0.0042937402107828,0.3330578512396694,0.8082644628099173,0.0164252949705386,0.0062668392099599,0.9348807386431148,0.9018030074465716,0.0157725172289771,0.0101255228373017,LaBSE
sentence-transformers/LaBSE,8,0.571720713409059,0.8472221633080717,0.0123139122357596,0.0057262486622374,0.3140495867768595,0.8024793388429753,0.0191603687923464,0.0089584642101978,0.904008753612714,0.905053400696965,0.0164329349858355,0.0076919470300583,LaBSE
sentence-transformers/LaBSE,9,0.6313053974665015,0.8537133187430423,0.0078112106407622,0.0065468345377579,0.38099173553719,0.8280991735537191,0.0152948392754725,0.0022633163533271,0.9542108140127942,0.8865618441856065,0.0083844563208135,0.0116567323002838,LaBSE
sentence-transformers/LaBSE,10,0.7122943311410517,0.8584336468566175,0.0160257414576028,0.0047646687339549,0.5512396694214876,0.8363636363636363,0.018845874795027,0.0047114686987567,0.92014640578997,0.8867164063203667,0.0153891859553107,0.0098178089171307,LaBSE
sentence-transformers/LaBSE,11,0.8203052281601817,0.9055030736291324,0.0098278147552421,0.0096630674271787,0.7314049586776861,0.8752066115702479,0.0120474212703415,0.0125336784199199,0.9348156185779948,0.9443519201935044,0.0124393706992869,0.0167855207766668,LaBSE
sentence-transformers/LaBSE,12,0.7932554765059107,0.8836167789659903,0.0147088761452771,0.0058306463070101,0.6702479338842975,0.849586776859504,0.0190262222036716,0.0119048432156098,0.9517709876125716,0.9274245031670776,0.0131476487729854,0.0152997775310391,LaBSE
Qwen/Qwen3-Embedding-0.6B,1,0.5501607753040243,0.8943254333432769,0.007908416420115,0.0050996186827864,0.2231404958677686,0.8396694214876034,0.0058438576957565,0.0098655672614159,0.9721919220929122,0.9649578988192852,0.0032564757768823,0.010573990416207,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,2,0.5717142587885569,0.8821729456820433,0.0148330401253521,0.00374673791514,0.3628099173553719,0.8280991735537191,0.0138290913476706,0.0047114686987567,0.8410540003609311,0.951930267771852,0.0318732457618451,0.0068865370582928,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,3,0.5413610336310251,0.8886754522534522,0.0072156424207469,0.0057958878467802,0.2157024793388429,0.8272727272727274,0.0073919602561976,0.0079485058106079,0.9617073095290918,0.968019177920168,0.0070733755065311,0.0105671983157815,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,4,0.580415171150266,0.8905637778481135,0.0119563972376005,0.0041982056220813,0.3528925619834711,0.8446280991735537,0.0075065711258615,0.0069145456738353,0.8737566812814338,0.94985908768087,0.0277729825160216,0.0060086079380676,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,5,0.4872492703925312,0.8934094911597381,0.0167490991484485,0.0070345361474556,0.1330578512396694,0.8388429752066117,0.0121883315733492,0.0109328566572917,0.9443984861806644,0.963846787708174,0.0137251118720915,0.0090758656856252,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,6,0.5683836655092341,0.89671208457958,0.0124872003230034,0.0050947915537797,0.3504132231404958,0.8570247933884299,0.0098655672614159,0.0080552019378586,0.8495447629110995,0.948083733826308,0.0232695271429517,0.0117139545341804,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,7,0.5409240457329024,0.9017869430525522,0.0068405154557004,0.0058610328486901,0.2107438016528925,0.8619834710743802,0.0087657865436348,0.0080552019378586,0.967096984918767,0.9532762530782334,0.0120222345817428,0.0117750747584236,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,8,0.6094145861427173,0.902685778126042,0.0091499461254484,0.0060613927152562,0.3619834710743801,0.8611570247933884,0.0129359304483458,0.0095131111018357,0.9286029702861384,0.9563654841872664,0.0167660850365281,0.004773494011624,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,9,0.6117295814127688,0.9003663447270611,0.0128290375200802,0.0042405328278234,0.3925619834710744,0.8677685950413224,0.0162686113099417,0.0077306970801114,0.8942600058441641,0.9425597483023224,0.0208341989286401,0.0058790442156418,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,10,0.6382219912443918,0.8895818571402216,0.012831629407444,0.0085555885078548,0.4520661157024793,0.8471074380165289,0.0090532654133085,0.0140130784775315,0.8783099278148783,0.9443915322133144,0.0215089840771724,0.0096814201287888,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,11,0.5776736134466315,0.8854317588749231,0.0057537439056828,0.0052371241350773,0.2570247933884298,0.8380165289256197,0.0098655672614159,0.0135168820114017,0.9913801833603816,0.9467249885071668,0.0050538581967998,0.0122139911661438,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,12,0.6271025312414353,0.8923926288747625,0.0087357653181555,0.0046751542326291,0.3661157024793388,0.843801652892562,0.0161633117484363,0.0098655672614159,0.9636970895386736,0.9552472230690052,0.013015710002223,0.0067362804441258,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,13,0.6391921847079117,0.8872492587651342,0.0097976654181235,0.0060686684182994,0.3826446280991735,0.8487603305785123,0.0138906911685715,0.0111646744513275,0.97011756397895,0.9369331087152868,0.0146400147033174,0.0111270118007007,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,14,0.645730682648494,0.8849255240026604,0.0092134927799935,0.0060289893265594,0.4016528925619835,0.8520661157024794,0.0166319105764447,0.0094229373975135,0.9604410862826704,0.9274162651390372,0.0164232091059739,0.0066723803678256,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,15,0.6475977605803981,0.885394440763182,0.0122235829308316,0.0065468715577978,0.4099173553719009,0.8520661157024794,0.0173848627834401,0.0098655672614159,0.954111593913574,0.9285537762765484,0.0165948999579539,0.0179720704128976,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,16,0.6912549343392123,0.8733063204385367,0.0164486415370725,0.005405975954562,0.5462809917355372,0.837190082644628,0.0168866254063657,0.0085687774187304,0.8782260957508482,0.91988258958556,0.0172661100716317,0.0155180064184268,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,17,0.6583254139533358,0.8618080622040217,0.0095965323931475,0.0060509981161684,0.4198347107438016,0.8066115702479338,0.0181536220136271,0.0121883315733492,0.965851209712596,0.933220346883713,0.0126098406454372,0.012818359121555,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,18,0.7094588081846082,0.8682477345806733,0.0120255724581671,0.0024650460470069,0.503305785123967,0.8330578512396695,0.0178692134797021,0.0132618235833728,0.9754244953254856,0.9138562694998338,0.0063682717821858,0.0170125615177764,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,19,0.6908695860770552,0.8743033111391613,0.0103575031511483,0.0019624119192555,0.4619834710743802,0.859504132231405,0.018106530826617,0.0065336315292734,0.9861032820438762,0.8934811070454634,0.0062646098193551,0.011907493166375,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,20,0.743320621900845,0.8598368573742222,0.0198826813249597,0.0039286495349613,0.5884297520661156,0.7966942148760331,0.0225575934941424,0.0110879403842964,0.9432101430121232,0.9414619352243114,0.018018115722885,0.0103576643954882,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,21,0.7578200792830079,0.8789776234896924,0.0166023623576365,0.0058802698768353,0.5851239669421487,0.8355371900826446,0.0207847542809244,0.0079485058106079,0.9807460686668608,0.9351746828974552,0.010004655472599,0.0095583120360842,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,22,0.799196212023628,0.8822408659136156,0.0136181210824869,0.0063339554819357,0.6710743801652892,0.8545454545454547,0.0192935826940971,0.0018479900640494,0.9647986186600048,0.918129223772788,0.0061364410101448,0.015243109755921,Qwen3-0.6B
