model,layer,overall_assignment_acc__baseline,overall_assignment_acc__sif_abtt_fixed,overall_assignment_acc__sif_abtt_optimal,overall_assignment_acc__sif_only,model_display
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,7,0.6177156177156177,0.9009324009324008,0.9009324009324008,0.5932400932400932,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,8,0.6188811188811189,0.8916083916083916,0.8776223776223776,0.6072261072261073,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,9,0.6258741258741258,0.8764568764568764,0.8764568764568764,0.6631701631701632,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,10,0.6130536130536131,0.865967365967366,0.865967365967366,0.6025641025641025,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,11,0.6188811188811189,0.8741258741258742,0.8741258741258742,0.627039627039627,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,12,0.6526806526806527,0.8741258741258742,0.8741258741258742,0.6421911421911422,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,13,0.6736596736596736,0.8636363636363636,0.8636363636363636,0.6655011655011654,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,14,0.6876456876456877,0.8613053613053613,0.8613053613053613,0.6480186480186481,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,15,0.6911421911421911,0.865967365967366,0.865967365967366,0.6981351981351981,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,16,0.6946386946386947,0.8589743589743589,0.8589743589743589,0.7377622377622378,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,17,0.7668997668997669,0.8822843822843823,0.8822843822843823,0.7634032634032634,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,18,0.796037296037296,0.8787878787878788,0.8787878787878788,0.796037296037296,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,19,0.8135198135198135,0.8776223776223776,0.8776223776223776,0.8041958041958042,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,20,0.803030303030303,0.8764568764568764,0.8764568764568764,0.8205128205128205,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,21,0.817016317016317,0.8741258741258742,0.8764568764568764,0.8321678321678322,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,22,0.8752913752913752,0.8764568764568764,0.8764568764568764,0.8566433566433567,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,23,0.8752913752913752,0.87995337995338,0.8811188811188811,0.8624708624708625,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,24,0.8461538461538461,0.8694638694638694,0.8694638694638694,0.8473193473193473,KaLM-mini
