model,layer,aucroc__baseline,aucroc__sif_abtt_fixed,aucroc__sif_abtt_optimal,aucroc__sif_only,model_display
Qwen/Qwen3-Embedding-0.6B,19,0.9365728590691436,0.9656728762807206,0.9758558203724907,0.9155627844586282,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,20,0.9431933981903164,0.9710273136601818,0.9710273136601818,0.918842269838426,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,21,0.952988896357872,0.97076274804829,0.97076274804829,0.9312791338222326,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,22,0.9629494727346232,0.9728877299221048,0.9728877299221048,0.941404728884236,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,23,0.9603416395027626,0.973380107400424,0.973380107400424,0.9408291025927666,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,24,0.9620687038171468,0.9754350364613912,0.9732584885378176,0.9418041688829796,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,25,0.9604314657116216,0.9781307155863124,0.9744121449723032,0.9375604894901092,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,26,0.9654223033742154,0.9793385113364036,0.9793385113364036,0.9414584767154468,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,27,0.9656615804678316,0.977161070553684,0.977161070553684,0.935477107984354,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,28,0.9581659569657458,0.9674241553930224,0.9674241553930224,0.9252158120684428,Qwen3-0.6B
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,1,0.8881111477768425,0.9811278605890644,0.9793823301160336,0.8805871679840308,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,2,0.9075461043845748,0.9805327379168572,0.9805327379168572,0.8996072014996737,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,3,0.8821950058404435,0.976862523638446,0.976862523638446,0.8824092004602024,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,4,0.8718816837089056,0.9738435539530286,0.9738435539530286,0.8734023304356315,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,5,0.8620795944093463,0.9708931764544708,0.9708931764544708,0.8629389804949654,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,6,0.872870145175692,0.96572319690644,0.96572319690644,0.8671667578375061,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,7,0.888706980157602,0.97069971448196,0.97069971448196,0.8789665576630643,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,8,0.8905041407830998,0.971473919515662,0.9746674294278408,0.8801765077220183,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,9,0.8928840339431164,0.9662393816726054,0.9662393816726054,0.8825059795234889,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,10,0.8932879107650011,0.9631431361727872,0.9631431361727872,0.8831422401085058,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,11,0.8947977928155609,0.9677634762092644,0.9677634762092644,0.8856635667360242,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,12,0.905427223714925,0.9647395362746004,0.9647395362746004,0.8968640428726236,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,13,0.9007378885602813,0.9627604796366072,0.9627604796366072,0.8943753742854094,KaLM-mini
