model,layer,aucroc__abtt_optimal,aucroc__baseline,gap__abtt_optimal,gap__baseline,model_display
Qwen/Qwen3-Embedding-0.6B,21,0.9822836112738778,0.9529046363755328,0.5621348755958024,0.0467342734336853,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,22,0.9829249953004574,0.963465211582357,0.5827102218026994,0.0441540479660034,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,23,0.9835611728500444,0.9605027833122054,0.5776460611086804,0.0376011133193969,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,24,0.9838395342398132,0.9627164891073644,0.5762872736086138,0.0320197939872741,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,25,0.983105635825301,0.9612698815883488,0.5777173939859495,0.026712417602539,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,26,0.9853648148716656,0.966446052222418,0.567980336927576,0.0240765810012817,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,27,0.9824323455569224,0.9666312158455796,0.5594054066750687,0.0166172385215759,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,28,0.9747922451120504,0.9580425332327276,0.5560186908696778,0.0980913639068603,Qwen3-0.6B
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,1,0.9806189648178008,0.8872841636449749,0.5676946127205156,0.0634751915931701,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,2,0.9828783015669368,0.9064279430075166,0.565864081523614,0.0441954135894775,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,3,0.9806110499671312,0.8811417047071654,0.5511139400477987,0.0618524551391601,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,4,0.9831949047359156,0.871069811533578,0.5531258925038856,0.0604345202445983,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,5,0.9825218704488464,0.8613689038439671,0.5406602754810592,0.062031090259552,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,6,0.9828492842570598,0.8721658183659385,0.528698145004455,0.0625232458114624,KaLM-mini
