model,language,layer,method,D,D_source,sif_a,spearman_train,spearman_test,n_train_pairs,n_test_pairs
Qwen/Qwen3-Embedding-0.6B,french,11,sif_abtt_optimal,7,train_sweep,0.001,0.8420150942700562,0.8605769630264093,505,505
Qwen/Qwen3-Embedding-0.6B,french,11,whitening,0,none,0.001,0.04780649001312949,0.4491661438181085,505,505
Qwen/Qwen3-Embedding-0.6B,french,12,baseline_mean,0,none,0.001,0.6247128703547011,0.6450300064849509,505,505
Qwen/Qwen3-Embedding-0.6B,french,12,sif_abtt_optimal,10,train_sweep,0.001,0.8484818391014316,0.8622393736311367,505,505
Qwen/Qwen3-Embedding-0.6B,french,12,whitening,0,none,0.001,-0.039577978778703816,0.4272072649358102,505,505
Qwen/Qwen3-Embedding-0.6B,french,13,baseline_mean,0,none,0.001,0.6190353718093337,0.6397191814524553,505,505
Qwen/Qwen3-Embedding-0.6B,french,13,sif_abtt_optimal,10,train_sweep,0.001,0.8459472434297947,0.8649326282605398,505,505
Qwen/Qwen3-Embedding-0.6B,french,13,whitening,0,none,0.001,0.030568764410349045,0.39916186886100347,505,505
Qwen/Qwen3-Embedding-0.6B,french,14,baseline_mean,0,none,0.001,0.6183451101664302,0.6377389069173642,505,505
Qwen/Qwen3-Embedding-0.6B,french,14,sif_abtt_optimal,10,train_sweep,0.001,0.8503121381636412,0.8696846791763517,505,505
Qwen/Qwen3-Embedding-0.6B,french,14,whitening,0,none,0.001,0.004424373043927401,0.5217833575230514,505,505
Qwen/Qwen3-Embedding-0.6B,french,15,baseline_mean,0,none,0.001,0.6204430574012336,0.63848005762822,505,505
Qwen/Qwen3-Embedding-0.6B,french,15,sif_abtt_optimal,10,train_sweep,0.001,0.851297398726942,0.8724968030869213,505,505
Qwen/Qwen3-Embedding-0.6B,french,15,whitening,0,none,0.001,0.15163231218278017,0.43910177796633454,505,505
Qwen/Qwen3-Embedding-0.6B,french,16,baseline_mean,0,none,0.001,0.6300835334581194,0.6490372563212687,505,505
Qwen/Qwen3-Embedding-0.6B,french,16,sif_abtt_optimal,10,train_sweep,0.001,0.8540930854704378,0.8792479560657456,505,505
Qwen/Qwen3-Embedding-0.6B,french,16,whitening,0,none,0.001,0.26737876843014147,0.5405105267898849,505,505
Qwen/Qwen3-Embedding-0.6B,french,17,baseline_mean,0,none,0.001,0.6414396104812741,0.6613951361860274,505,505
Qwen/Qwen3-Embedding-0.6B,french,17,sif_abtt_optimal,10,train_sweep,0.001,0.856190445589884,0.8767473814283383,505,505
Qwen/Qwen3-Embedding-0.6B,french,17,whitening,0,none,0.001,0.11913139961850065,0.5832415867687313,505,505
Qwen/Qwen3-Embedding-0.6B,french,18,baseline_mean,0,none,0.001,0.672117498918467,0.6990045538609864,505,505
Qwen/Qwen3-Embedding-0.6B,french,18,sif_abtt_optimal,10,train_sweep,0.001,0.8605382122478947,0.8787272044143238,505,505
Qwen/Qwen3-Embedding-0.6B,french,18,whitening,0,none,0.001,-0.02020431357015189,0.5677503587020714,505,505
Qwen/Qwen3-Embedding-0.6B,french,19,baseline_mean,0,none,0.001,0.6902017461874246,0.7221538457868525,505,505
Qwen/Qwen3-Embedding-0.6B,french,19,sif_abtt_optimal,10,train_sweep,0.001,0.8624724720268123,0.8753165947811659,505,505
Qwen/Qwen3-Embedding-0.6B,french,19,whitening,0,none,0.001,0.2569186708467577,0.5738337184725504,505,505
Qwen/Qwen3-Embedding-0.6B,french,20,baseline_mean,0,none,0.001,0.719818892213555,0.7504010817698811,505,505
Qwen/Qwen3-Embedding-0.6B,french,20,sif_abtt_optimal,10,train_sweep,0.001,0.8654653818430765,0.8701102623374629,505,505
Qwen/Qwen3-Embedding-0.6B,french,20,whitening,0,none,0.001,0.18096079342306898,0.6242618714931691,505,505
Qwen/Qwen3-Embedding-0.6B,french,21,baseline_mean,0,none,0.001,0.7664067453348503,0.7932420972411023,505,505
Qwen/Qwen3-Embedding-0.6B,french,21,sif_abtt_optimal,10,train_sweep,0.001,0.8641319033820319,0.8660690986579161,505,505
Qwen/Qwen3-Embedding-0.6B,french,21,whitening,0,none,0.001,0.18032479621020686,0.6383415861277882,505,505
Qwen/Qwen3-Embedding-0.6B,french,22,baseline_mean,0,none,0.001,0.7881704351249814,0.8130739671722405,505,505
Qwen/Qwen3-Embedding-0.6B,french,22,sif_abtt_optimal,10,train_sweep,0.001,0.8670120517399195,0.8615782092056278,505,505
Qwen/Qwen3-Embedding-0.6B,french,22,whitening,0,none,0.001,0.043581291635292,0.6889145464058144,505,505
Qwen/Qwen3-Embedding-0.6B,french,23,baseline_mean,0,none,0.001,0.799721539805807,0.8232903613659103,505,505
Qwen/Qwen3-Embedding-0.6B,french,23,sif_abtt_optimal,10,train_sweep,0.001,0.8652821359128464,0.8605318971912519,505,505
Qwen/Qwen3-Embedding-0.6B,french,23,whitening,0,none,0.001,0.10542136467154721,0.6954380396759152,505,505
Qwen/Qwen3-Embedding-0.6B,french,24,baseline_mean,0,none,0.001,0.8047561213502696,0.8277048213038184,505,505
Qwen/Qwen3-Embedding-0.6B,french,24,sif_abtt_optimal,10,train_sweep,0.001,0.864049754049898,0.8591446640993694,505,505
Qwen/Qwen3-Embedding-0.6B,french,24,whitening,0,none,0.001,0.1305486641467441,0.6964277575510484,505,505
