model,repr,layer,method,D,D_source,sif_a,spearman_test,auc_roc_test,acc_at_1_test,acc_at_3_test,acc_at_5_test,spearman_train,n_train_files,n_test_files,n_pos_test_pairs,n_neg_test_pairs
bowphs/PhilTa,hidden,3,sif_abtt_optimal,7,train_sweep,0.001,0.07215474517418799,0.9787404499735504,0.9142857142857143,0.95,0.9571428571428572,0.06521148661654247,578,700,464,244186
bowphs/PhilTa,hidden,3,whitening,0,none,0.001,0.007158651711277849,0.5474970305987775,0.2375,0.26785714285714285,0.28214285714285714,nan,578,700,464,244186
bowphs/PhilTa,hidden,4,baseline_mean,0,none,0.001,0.0009667809930159474,0.5064145076873282,0.05,0.06428571428571428,0.07678571428571429,nan,578,700,464,244186
bowphs/PhilTa,hidden,4,sif_abtt_optimal,3,train_sweep,0.001,0.07243602983195951,0.9806067491796108,0.8982142857142857,0.9303571428571429,0.9464285714285714,0.06535294883061211,578,700,464,244186
bowphs/PhilTa,hidden,4,whitening,0,none,0.001,0.008851284157530292,0.558727499486683,0.2642857142857143,0.2875,0.29464285714285715,nan,578,700,464,244186
bowphs/PhilTa,hidden,5,baseline_mean,0,none,0.001,1.8665091914085096e-05,0.500123841259221,0.048214285714285716,0.0625,0.06785714285714285,nan,578,700,464,244186
bowphs/PhilTa,hidden,5,sif_abtt_optimal,3,train_sweep,0.001,0.07256675797276615,0.9814741190082066,0.9053571428571429,0.9392857142857143,0.9446428571428571,0.0657561874776294,578,700,464,244186
bowphs/PhilTa,hidden,5,whitening,0,none,0.001,0.017871612337857112,0.6185765913462802,0.2892857142857143,0.3267857142857143,0.3410714285714286,nan,578,700,464,244186
bowphs/PhilTa,hidden,6,baseline_mean,0,none,0.001,-0.00040391769709581104,0.49732004125882556,0.048214285714285716,0.05892857142857143,0.06428571428571428,nan,578,700,464,244186
bowphs/PhilTa,hidden,6,sif_abtt_optimal,3,train_sweep,0.001,0.07269722472380308,0.9823397545384426,0.9107142857142857,0.9410714285714286,0.9482142857142857,0.06580648079514319,578,700,464,244186
bowphs/PhilTa,hidden,6,whitening,0,none,0.001,0.014827628031186871,0.5983800205863422,0.2732142857142857,0.32857142857142857,0.34285714285714286,nan,578,700,464,244186
bowphs/PhilTa,hidden,7,baseline_mean,0,none,0.001,-0.00015493163633417751,0.4989720420866286,0.048214285714285716,0.06428571428571428,0.06964285714285715,nan,578,700,464,244186
bowphs/PhilTa,hidden,7,sif_abtt_optimal,3,train_sweep,0.001,0.07284585307551587,0.9833258907073947,0.9160714285714285,0.9446428571428571,0.9482142857142857,0.06593374205926146,578,700,464,244186
bowphs/PhilTa,hidden,7,whitening,0,none,0.001,0.01173372759023194,0.5778522606212845,0.25535714285714284,0.2892857142857143,0.30714285714285716,nan,578,700,464,244186
bowphs/PhilTa,hidden,8,baseline_mean,0,none,0.001,0.00015779428664136898,0.5010469513488446,0.05178571428571429,0.06607142857142857,0.07678571428571429,nan,578,700,464,244186
bowphs/PhilTa,hidden,8,sif_abtt_optimal,3,train_sweep,0.001,0.07295625666518168,0.9840584089093192,0.9267857142857143,0.9446428571428571,0.95,0.0661869865336399,578,700,464,244186
bowphs/PhilTa,hidden,8,whitening,0,none,0.001,0.014210092371333694,0.594282725265675,0.26607142857142857,0.2910714285714286,0.3125,nan,578,700,464,244186
bowphs/PhilTa,hidden,9,baseline_mean,0,none,0.001,-0.00013687977945168618,0.49909181458481194,0.05357142857142857,0.06428571428571428,0.08035714285714286,nan,578,700,464,244186
bowphs/PhilTa,hidden,9,sif_abtt_optimal,5,train_sweep,0.001,0.07290739407111191,0.9837342098533142,0.9232142857142858,0.9553571428571429,0.9571428571428572,0.06608248664953872,578,700,464,244186
bowphs/PhilTa,hidden,9,whitening,0,none,0.001,0.010435883483907574,0.5692411780081719,0.2571428571428571,0.2785714285714286,0.2910714285714286,nan,578,700,464,244186
bowphs/PhilTa,hidden,10,baseline_mean,0,none,0.001,8.49483497561845e-05,0.5005636249021026,0.05178571428571429,0.06428571428571428,0.07321428571428572,nan,578,700,464,244186
bowphs/PhilTa,hidden,10,sif_abtt_optimal,5,train_sweep,0.001,0.07289456601895317,0.9836490968444913,0.9178571428571428,0.95,0.9553571428571429,0.06611678214929678,578,700,464,244186
bowphs/PhilTa,hidden,10,whitening,0,none,0.001,0.013044186913396498,0.5865470440918835,0.2732142857142857,0.30357142857142855,0.3142857142857143,nan,578,700,464,244186
bowphs/PhilTa,hidden,11,baseline_mean,0,none,0.001,0.0006215529481448034,0.5041239496771398,0.05178571428571429,0.07142857142857142,0.07857142857142857,nan,578,700,464,244186
bowphs/PhilTa,hidden,11,sif_abtt_optimal,5,train_sweep,0.001,0.07288248755018166,0.9835689572561559,0.9089285714285714,0.9392857142857143,0.9464285714285714,0.0660689025820205,578,700,464,244186
bowphs/PhilTa,hidden,11,whitening,0,none,0.001,0.010441098642775008,0.5692757801288841,0.24285714285714285,0.26607142857142857,0.28035714285714286,nan,578,700,464,244186
bowphs/PhilTa,hidden,12,baseline_mean,0,none,0.001,0.06179163380002882,0.9099821085721258,0.7089285714285715,0.7857142857142857,0.8196428571428571,nan,578,700,464,244186
bowphs/PhilTa,hidden,12,sif_abtt_optimal,1,train_sweep,0.001,0.07286149389443822,0.9834296661787212,0.9107142857142857,0.9410714285714286,0.9482142857142857,0.06577096734801699,578,700,464,244186
