model,layer,rpr,cgs,isotropy_baseline,isotropy_abtt,isotropy_gain,pc1_var_explained,aucroc_baseline,aucroc_abtt,delta_aucroc
KaLM-mini,12,0.46278947591781616,0.39605841040611267,6.936850809324824e-07,7.459203033022277e-08,0.10753010606765946,0.25038450956344604,0.8884489553422708,0.9718964393356272,0.08344748399335644
KaLM-mini,13,0.4725936949253082,0.39062607288360596,5.259664703771705e-07,7.013327518734513e-08,0.1333417225950783,0.2462380826473236,0.8840350634547149,0.9716404078116394,0.08760534435692446
KaLM-mini,14,0.46849754452705383,0.3949325382709503,6.527058644678618e-07,6.729725043896906e-08,0.10310501881859936,0.23932915925979614,0.8871309466023122,0.9709710889561493,0.08384014235383708
KaLM-mini,15,0.45958220958709717,0.3889731764793396,6.763694955225219e-07,7.831241788380794e-08,0.11578348580506063,0.21378140151500702,0.8904892988401896,0.9638532864926276,0.07336398765243801
KaLM-mini,16,0.4620460271835327,0.3899652063846588,6.726269816681452e-07,7.11001106878939e-08,0.10570511238125244,0.2124435305595398,0.8994041999213422,0.9590457739279804,0.059641574006638165
KaLM-mini,17,0.4384727478027344,0.41291263699531555,6.373626320055337e-07,7.368650045691538e-08,0.11561157927481953,0.2013169229030609,0.9077600171739226,0.964836796190943,0.05707677901702035
KaLM-mini,18,0.4237991273403168,0.4480332136154175,9.776526894711424e-07,6.939489338719795e-08,0.07098113075793497,0.15490789711475372,0.9274944761920436,0.9699573492429266,0.04246287305088303
KaLM-mini,19,0.40635377168655396,0.4562072157859802,1.0052249308500905e-06,7.263539458790547e-08,0.07225785230622937,0.14006589353084564,0.937420816275442,0.9683918149729298,0.03097099869748776
KaLM-mini,20,0.4192267060279846,0.46378231048583984,8.519784273630648e-07,7.580616312452548e-08,0.08897662275223454,0.14345990121364594,0.9415923149882164,0.967814668350964,0.026222353362747586
KaLM-mini,21,0.4309234023094177,0.47939205169677734,9.133524940807547e-07,7.469088814104907e-08,0.08177662909457739,0.15332557260990143,0.942033708601416,0.9693450393507854,0.027311330749369422
KaLM-mini,22,0.36863258481025696,0.48301762342453003,1.7517439800940338e-06,9.237410125706447e-08,0.052732649466336864,0.1188354566693306,0.9548962093972628,0.9717115418130547,0.016815332415791917
KaLM-mini,23,0.3224157691001892,0.4787266254425049,1.6242377114394912e-06,9.918363730321289e-08,0.06106472999897949,0.101450115442276,0.9583955354880463,0.9709984098990035,0.012602874410957199
KaLM-mini,24,0.2902975380420685,0.2761681079864502,8.984152941593493e-07,8.782394189665865e-08,0.0977542818645311,0.07942251861095428,0.9304567743085268,0.9709194556924876,0.04046268138396081
