model,layer,category,mean_delta,median_delta,std_delta,mean_abs_pc1,mean_abs_abtt,n_tokens
PhilTa,7,short_subword,0.747806344488968,0.8575746119022369,0.31441376115928515,436.4318754069226,27.76062986160476,26982
PhilTa,7,punctuation,0.7868280508084887,0.8922175168991089,0.2889935269697904,617.8565793575247,25.858529996035454,9819
PhilTa,7,number,0.6424031872707668,0.746877908706665,0.3270956396067019,258.47257717592373,21.853864444286696,448
PhilTa,7,empty,0.9442952801944806,0.9590268433094025,0.0590049132384797,7398.194332818887,235.73692514425818,11914
PhilTa,8,content,0.5542518093271459,0.7061012983322144,0.4378671713902503,504.26800901979465,65.39221171769337,62327
PhilTa,8,short_subword,0.7341861926878782,0.8471392691135406,0.32324034361007753,453.9427076913828,30.442007762809123,26982
PhilTa,8,punctuation,0.773699159587931,0.8843607306480408,0.3018271594377507,631.6541839907594,29.108937454156557,9819
PhilTa,8,number,0.618192036306157,0.7258891761302948,0.3536784122668318,271.8500628215926,25.898492508168733,448
PhilTa,8,empty,0.9431218578285853,0.9587556719779968,0.06136764460645043,7624.864807415793,256.76501825612945,11914
PhilTa,9,content,0.5597514337300596,0.7101877927780151,0.4355770766834888,568.5604234855531,69.75825208305933,62327
PhilTa,9,short_subword,0.7416008288787864,0.8567489087581635,0.32384519454400545,543.5062944600654,33.60543503548383,26982
PhilTa,9,punctuation,0.7700153293083704,0.8703209757804871,0.2896982362730582,774.4088767244782,36.857281885160205,9819
PhilTa,9,number,0.5778718722368856,0.6997795403003693,0.39893401498400366,341.2125037163496,29.393269187371647,448
PhilTa,9,empty,0.9444064023579782,0.9590904414653778,0.05819231911133735,8167.9259616146755,272.3921003113292,11914
PhilTa,10,content,0.552479957603172,0.7031614780426025,0.43895472786826945,611.7437023470999,75.93509383364565,62327
PhilTa,10,short_subword,0.7384011494115569,0.8544492721557617,0.32593457933308234,606.9232597971376,37.045394298721654,26982
PhilTa,10,punctuation,0.7619504546330699,0.8589193820953369,0.28597675722972443,869.7026500638287,44.16986417130572,9819
PhilTa,10,number,0.5774020465940859,0.6957438886165619,0.3908477144749854,377.5923023053578,32.73367569861667,448
PhilTa,10,empty,0.9451590926924698,0.960221529006958,0.06472068352351443,8570.66995268843,308.69385367606895,11914
PhilTa,11,content,0.511672829920094,0.6612438559532166,0.4572034030177345,622.830025933403,88.38700916989532,62327
PhilTa,11,short_subword,0.7136519995334883,0.8308569192886353,0.33737110686294175,620.9971531692211,42.44015978677783,26982
PhilTa,11,punctuation,0.7272888821433814,0.8260272145271301,0.30302380603869145,889.4464330881552,55.49408739390618,9819
PhilTa,11,number,0.5320927047092872,0.6602128446102142,0.42403435184921456,383.70758328267505,37.48071904107928,448
PhilTa,11,empty,0.9441696456851604,0.9608968496322632,0.07013475358329431,8717.224000925344,351.397698722801,11914
PhilTa,12,content,-0.25194294623263724,-0.3334217369556427,0.49568887922281646,0.003925351238186441,0.00581528867833365,62327
PhilTa,12,short_subword,-0.20916812914987834,-0.2808913588523865,0.5029370634001719,0.003501562651478012,0.004422586829533281,26982
PhilTa,12,punctuation,-0.12017771607556173,-0.15384472906589508,0.49774623559048187,0.006479214667210482,0.005404414828630819,9819
PhilTa,12,number,-0.2368898870715514,-0.27001048624515533,0.4508726816367466,0.0022361728236514216,0.003487934642732528,448
PhilTa,12,empty,0.14826973654075165,0.18645506352186203,0.5001802285215438,0.022478024713751873,0.020427720281791115,11914
LaBSE,1,content,-0.6774900555958174,-0.7375405728816986,0.25075826504126736,0.026071174179092948,0.1119118662949055,3772
LaBSE,1,short_subword,-0.7795223232367501,-0.8032979369163513,0.15262343611849197,0.011999104197483,0.09599971661925422,1692
LaBSE,1,punctuation,-0.8856610424395568,-0.8985151052474976,0.08439201126733024,0.004745186614486188,0.09177058315046442,407
LaBSE,1,number,-0.8573003326143537,-0.8344680070877075,0.05799483416560832,0.005752482418236988,0.07550059844340597,7
LaBSE,6,content,-0.7268209153030651,-0.7747850120067596,0.243105744007669,0.016161014279039692,0.0663398060119787,3772
LaBSE,6,short_subword,-0.7202991303364717,-0.7334381341934204,0.17178699124761587,0.00778040225744633,0.049063666411163616,1692
LaBSE,6,punctuation,-0.723470561645687,-0.7607960104942322,0.18723399046705289,0.009360909024631051,0.05630897371331802,407
LaBSE,6,number,-0.6633349827357701,-0.6948692798614502,0.178760715447373,0.010549162996799819,0.042281059814350944,7
LaBSE,9,content,-0.49977499449029306,-0.5289157032966614,0.32820451564819664,0.024825537910067436,0.05719955235705237,3772
LaBSE,9,short_subword,-0.4101572659958691,-0.4079912155866623,0.30439171297245476,0.016536302221360332,0.03783500301408093,1692
LaBSE,9,punctuation,-0.49452699997052735,-0.525634229183197,0.3303861403367377,0.016629923069361924,0.04589378784630329,407
LaBSE,9,number,0.002477840653487614,-0.06865919381380081,0.2606276216820224,0.03440635252211775,0.03829501808754036,7
LaBSE,11,content,-0.0973288765105487,-0.13115718960762024,0.5077782625748483,0.012699018175593692,0.01501660648798375,3772
LaBSE,11,short_subword,-0.10447812091047826,-0.12791050225496292,0.47322843866229686,0.0064272270300197165,0.00850238311156251,1692
