model,repr,pooling,layer,method,D,sif_a,split,n_train,n_test_query,acc@1_all,acc@3_all,acc@5_all,acc@1_winnable,acc@3_winnable,acc@5_winnable,same_avg,diff_avg,gap,off_diag_mean
bowphs/LaTa,ff1,sif,12,baseline,0,0.001,clean,943,335,0.844776119402985,0.8776119402985074,0.8955223880597015,0.844776119402985,0.8776119402985074,0.8955223880597015,0.7675721049308777,0.5152308940887451,0.25234121084213257,0.5157679915428162
bowphs/LaTa,ff1,sif,12,abtt,10,0.001,clean,943,335,0.9164179104477612,0.9522388059701492,0.9582089552238806,0.9164179104477612,0.9522388059701492,0.9582089552238806,0.49911290407180786,-0.0011668114457279444,0.5002797155175358,-0.00010188123997068033
bowphs/PhilTa,hidden,mean,0,baseline,0,0.001,clean,943,335,0.9223880597014925,0.9432835820895522,0.9462686567164179,0.9223880597014925,0.9432835820895522,0.9462686567164179,0.8009454011917114,0.4636668562889099,0.3372785449028015,0.46438485383987427
bowphs/PhilTa,hidden,mean,0,abtt,10,0.001,clean,943,335,0.9253731343283582,0.9611940298507463,0.9611940298507463,0.9253731343283582,0.9611940298507463,0.9611940298507463,0.5869967341423035,-0.001193896634504199,0.5881906307768077,5.816637712996453e-05
bowphs/PhilTa,hidden,mean,1,baseline,0,0.001,clean,943,335,0.6746268656716418,0.7194029850746269,0.7283582089552239,0.6746268656716418,0.7194029850746269,0.7283582089552239,0.9549562931060791,0.9074468016624451,0.04750949144363403,0.9075475931167603
bowphs/PhilTa,hidden,mean,1,abtt,10,0.001,clean,943,335,0.9313432835820895,0.9522388059701492,0.9582089552238806,0.9313432835820895,0.9522388059701492,0.9582089552238806,0.5866435170173645,-0.00130647758487612,0.5879499946022406,-5.492674608831294e-05
bowphs/PhilTa,hidden,mean,2,baseline,0,0.001,clean,943,335,0.6029850746268657,0.6656716417910448,0.6805970149253732,0.6029850746268657,0.6656716417910448,0.6805970149253732,0.9695714116096497,0.9434919953346252,0.026079416275024414,0.9435476064682007
bowphs/PhilTa,hidden,mean,2,abtt,10,0.001,clean,943,335,0.9104477611940298,0.9432835820895522,0.9492537313432836,0.9104477611940298,0.9432835820895522,0.9492537313432836,0.5698873400688171,-0.0009318638476543128,0.5708192039164715,0.00028322101570665836
bowphs/PhilTa,hidden,mean,3,baseline,0,0.001,clean,943,335,0.11940298507462686,0.14626865671641792,0.16716417910447762,0.11940298507462686,0.14626865671641792,0.16716417910447762,0.9561291933059692,0.9322046637535095,0.023924529552459717,0.9322551488876343
bowphs/PhilTa,hidden,mean,3,abtt,10,0.001,clean,943,335,0.9104477611940298,0.9402985074626866,0.9462686567164179,0.9104477611940298,0.9402985074626866,0.9462686567164179,0.561931312084198,-0.001059869071468711,0.5629911811556667,0.0001385532523272559
bowphs/PhilTa,hidden,mean,4,baseline,0,0.001,clean,943,335,0.06865671641791045,0.08656716417910448,0.0955223880597015,0.06865671641791045,0.08656716417910448,0.0955223880597015,0.953986406326294,0.9376685619354248,0.01631784439086914,0.9377036094665527
bowphs/PhilTa,hidden,mean,4,abtt,10,0.001,clean,943,335,0.9104477611940298,0.9462686567164179,0.9492537313432836,0.9104477611940298,0.9462686567164179,0.9492537313432836,0.5615549087524414,-0.0010298332199454308,0.5625847419723868,0.00016772354138083756
bowphs/PhilTa,hidden,mean,5,baseline,0,0.001,clean,943,335,0.07761194029850746,0.09850746268656717,0.10149253731343283,0.07761194029850746,0.09850746268656717,0.10149253731343283,0.9539775252342224,0.9373026490211487,0.01667487621307373,0.9373378753662109
bowphs/PhilTa,hidden,mean,5,abtt,10,0.001,clean,943,335,0.9014925373134328,0.9492537313432836,0.9582089552238806,0.9014925373134328,0.9492537313432836,0.9582089552238806,0.571853756904602,-0.000820524466689676,0.5726742813712917,0.000398509408114478
bowphs/PhilTa,hidden,mean,6,baseline,0,0.001,clean,943,335,0.07462686567164178,0.10149253731343283,0.10746268656716418,0.07462686567164178,0.10149253731343283,0.10746268656716418,0.9512525796890259,0.9343846440315247,0.01686793565750122,0.9344208240509033
bowphs/PhilTa,hidden,mean,6,abtt,10,0.001,clean,943,335,0.8955223880597015,0.9462686567164179,0.9522388059701492,0.8955223880597015,0.9462686567164179,0.9522388059701492,0.5704527497291565,-0.0006627670954912901,0.5711155168246478,0.0005529478075914085
bowphs/PhilTa,hidden,mean,7,baseline,0,0.001,clean,943,335,0.08059701492537313,0.10149253731343283,0.11044776119402985,0.08059701492537313,0.10149253731343283,0.11044776119402985,0.9514646530151367,0.9343047142028809,0.01715993881225586,0.934341311454773
