model,repr,pooling,layer,method,D,tau,dir_acc_at_1,dir_acc_at_2,dir_acc_at_3,dir_acc_at_4,dir_acc_at_5,existing_acc,new_acc,overall_assignment_acc,n_query,n_reference_dirs,n_query_existing,n_query_new,seed
google/mt5-base,hidden,sif,5,sif_abtt_fixed,10,0.21105527638190955,0.43119266055045874,0.46788990825688076,0.5779816513761468,0.6422018348623854,0.6788990825688074,0.4725274725274725,0.2222222222222222,0.43119266055045874,109,50,91,18,44
google/mt5-base,hidden,sif,5,sif_abtt_optimal,1,0.2814070351758794,0.3302752293577982,0.4036697247706422,0.48623853211009177,0.5596330275229358,0.5871559633027523,0.37362637362637363,0.1111111111111111,0.3302752293577982,109,50,91,18,44
google/mt5-base,hidden,sif,6,sif_only,10,0.005025125628140704,0.23853211009174313,0.28440366972477066,0.3761467889908257,0.44036697247706424,0.48623853211009177,0.2857142857142857,0.0,0.23853211009174313,109,50,91,18,44
google/mt5-base,hidden,sif,6,sif_abtt_fixed,10,0.16080402010050251,0.4036697247706422,0.47706422018348627,0.5137614678899083,0.5412844036697247,0.5871559633027523,0.4835164835164835,0.0,0.4036697247706422,109,50,91,18,44
google/mt5-base,hidden,sif,6,sif_abtt_optimal,1,0.2663316582914573,0.3486238532110092,0.41284403669724773,0.48623853211009177,0.5504587155963303,0.6238532110091743,0.4065934065934066,0.05555555555555555,0.3486238532110092,109,50,91,18,44
google/mt5-base,hidden,sif,7,sif_only,10,0.0,0.25688073394495414,0.3211009174311927,0.3853211009174312,0.43119266055045874,0.47706422018348627,0.3076923076923077,0.0,0.25688073394495414,109,50,91,18,44
google/mt5-base,hidden,sif,7,sif_abtt_fixed,10,0.20100502512562815,0.3853211009174312,0.46788990825688076,0.5045871559633027,0.5963302752293578,0.6513761467889908,0.46153846153846156,0.0,0.3853211009174312,109,50,91,18,44
google/mt5-base,hidden,sif,7,sif_abtt_optimal,5,0.1306532663316583,0.3577981651376147,0.43119266055045874,0.46788990825688076,0.5412844036697247,0.5871559633027523,0.42857142857142855,0.0,0.3577981651376147,109,50,91,18,44
google/mt5-base,hidden,sif,8,sif_only,10,0.9899497487437187,0.23853211009174313,0.3394495412844037,0.41284403669724773,0.44954128440366975,0.4954128440366973,0.23076923076923078,0.2777777777777778,0.23853211009174313,109,50,91,18,44
google/mt5-base,hidden,sif,8,sif_abtt_fixed,10,0.1457286432160804,0.3944954128440367,0.46788990825688076,0.5137614678899083,0.5504587155963303,0.5688073394495413,0.4725274725274725,0.0,0.3944954128440367,109,50,91,18,44
google/mt5-base,hidden,sif,8,sif_abtt_optimal,2,0.21105527638190955,0.3761467889908257,0.44036697247706424,0.5045871559633027,0.5688073394495413,0.5963302752293578,0.45054945054945056,0.0,0.3761467889908257,109,50,91,18,44
google/mt5-base,hidden,sif,9,sif_only,10,0.0,0.25688073394495414,0.3486238532110092,0.3761467889908257,0.42201834862385323,0.45871559633027525,0.3076923076923077,0.0,0.25688073394495414,109,50,91,18,44
google/mt5-base,hidden,sif,9,sif_abtt_fixed,10,0.17587939698492464,0.3944954128440367,0.45871559633027525,0.5137614678899083,0.5596330275229358,0.6055045871559633,0.4725274725274725,0.0,0.3944954128440367,109,50,91,18,44
google/mt5-base,hidden,sif,9,sif_abtt_optimal,2,0.22110552763819097,0.3944954128440367,0.44036697247706424,0.4954128440366973,0.5688073394495413,0.5871559633027523,0.4725274725274725,0.0,0.3944954128440367,109,50,91,18,44
google/mt5-base,hidden,sif,10,sif_only,10,0.06030150753768844,0.29357798165137616,0.3394495412844037,0.3761467889908257,0.42201834862385323,0.44036697247706424,0.3516483516483517,0.0,0.29357798165137616,109,50,91,18,44
google/mt5-base,hidden,sif,10,sif_abtt_fixed,10,0.1407035175879397,0.4036697247706422,0.46788990825688076,0.5229357798165137,0.5321100917431193,0.5779816513761468,0.4835164835164835,0.0,0.4036697247706422,109,50,91,18,44
google/mt5-base,hidden,sif,10,sif_abtt_optimal,1,0.2964824120603015,0.3577981651376147,0.4036697247706422,0.5229357798165137,0.5412844036697247,0.5779816513761468,0.4175824175824176,0.05555555555555555,0.3577981651376147,109,50,91,18,44
google/mt5-base,hidden,sif,11,sif_only,10,0.02512562814070352,0.26605504587155965,0.3211009174311927,0.3577981651376147,0.44036697247706424,0.47706422018348627,0.31868131868131866,0.0,0.26605504587155965,109,50,91,18,44
google/mt5-base,hidden,sif,11,sif_abtt_fixed,10,0.18090452261306533,0.3944954128440367,0.42201834862385323,0.48623853211009177,0.5504587155963303,0.5779816513761468,0.4725274725274725,0.0,0.3944954128440367,109,50,91,18,44
google/mt5-base,hidden,sif,11,sif_abtt_optimal,7,0.18090452261306533,0.3761467889908257,0.44036697247706424,0.47706422018348627,0.5229357798165137,0.5779816513761468,0.45054945054945056,0.0,0.3761467889908257,109,50,91,18,44
