config,model,view,n_pairs,gap_baseline,gap_abtt,paired_mean,paired_se,se_ratio,verdict
sched0.10_zero_both,bowphs/LaTa,ig,194,1.2786637067374085,0.05250235253907292,-1.2261613541983358,0.12483220072277706,-9.82247646920326,loss
sched0.10_zero_both,bowphs/LaTa,retrieval_mark,194,0.7832341571536782,0.07886859879681395,-0.7043655583568642,0.10338081358010025,-6.813310264879241,loss
sched0.10_zero_both,bowphs/PhilTa,ig,199,0.015645395922199098,0.09335005625215363,0.07770466032995453,0.007816032280075356,9.941701562318185,win
sched0.10_zero_both,bowphs/PhilTa,retrieval_mark,199,0.12932733873767224,0.07616280462766836,-0.05316453411000389,0.008056240122970647,-6.599174465817693,loss
sched0.10_zero_both,google/mt5-base,ig,198,0.007226211263215065,0.0805480100708163,0.07332179880760123,0.006395598649860972,11.46441526770838,win
sched0.10_zero_both,google/mt5-base,retrieval_mark,198,0.029922288032472273,0.04861916993200632,0.01869688189953405,0.0053307070045749486,3.5073925247603945,win
sched_frac0.05,bowphs/LaTa,ig,194,0.8121242272583072,0.1773268666318374,-0.63479736062647,0.07771772375830184,-8.167987042449383,loss
sched_frac0.05,bowphs/LaTa,retrieval_mark,194,0.49077659216227787,0.32430027362560027,-0.16647631853667755,0.08888127331638651,-1.873019054802237,tie
sched_frac0.05,bowphs/PhilTa,ig,199,0.11206262015353127,0.3973735094130309,0.28531088925949966,0.010237198306008173,27.87001684748568,win
sched_frac0.05,bowphs/PhilTa,retrieval_mark,199,0.19504493616193938,0.3063705917352415,0.11132565557330217,0.014183845864658933,7.848763772221034,win
sched_frac0.05,google/mt5-base,ig,198,0.059849986026370865,0.5556838074625866,0.4958338214362158,0.021207839652386012,23.379742093647497,win
sched_frac0.05,google/mt5-base,retrieval_mark,198,0.03916331472198666,0.4605388742238254,0.42137555950183864,0.022873062323124145,18.422349991843355,win
sched_frac0.10,bowphs/LaTa,ig,194,0.801211557296232,0.1736112484083365,-0.6276003088878955,0.07643749362771889,-8.210634324884586,loss
sched_frac0.10,bowphs/LaTa,retrieval_mark,194,0.49436358202684544,0.3172231415510524,-0.17714044047579305,0.08735288437460463,-2.027871680987006,loss
sched_frac0.10,bowphs/PhilTa,ig,199,0.1115586611231638,0.39143993515820086,0.27988127403503704,0.0100290525513271,27.907050302373936,win
sched_frac0.10,bowphs/PhilTa,retrieval_mark,199,0.1863874432822779,0.3001545038454521,0.11376706056317419,0.014340679140023767,7.9331710480613715,win
sched_frac0.10,google/mt5-base,ig,198,0.0531039957924599,0.5458260086239496,0.49272201283148975,0.02098869976515796,23.47558535519323,win
sched_frac0.10,google/mt5-base,retrieval_mark,198,0.03518544341304437,0.4536907013846428,0.4185052579715984,0.022478807775214108,18.61776932996671,win
sched_frac0.20,bowphs/LaTa,ig,194,0.7402418196060819,0.16062345132006994,-0.5796183682860121,0.07164276630714823,-8.090396255793099,loss
sched_frac0.20,bowphs/LaTa,retrieval_mark,194,0.48006800365475816,0.2977252896464519,-0.18234271400830626,0.08405883038085914,-2.1692273516314255,loss
sched_frac0.20,bowphs/PhilTa,ig,199,0.10700853624618178,0.3680802044990881,0.26107166825290634,0.009432161046987872,27.678881536514762,win
sched_frac0.20,bowphs/PhilTa,retrieval_mark,199,0.16467280026475786,0.28104815042092707,0.11637535015616926,0.013864962158853087,8.39348487380191,win
sched_frac0.20,google/mt5-base,ig,198,0.037344187984233876,0.5176095452135406,0.48026535722930674,0.020178322388067684,23.801054814809998,win
sched_frac0.20,google/mt5-base,retrieval_mark,198,0.028205030455941936,0.43123506031787057,0.4030300298619287,0.021529058770608255,18.720281000493642,win
seed20260101,bowphs/LaTa,ig,194,0.8282744819049535,0.1831700710472624,-0.645104410857691,0.07441522297633192,-8.668984450437906,loss
seed20260101,bowphs/LaTa,retrieval_mark,194,0.5008041546435108,0.33064606878964087,-0.17015808585387004,0.08000188796330421,-2.1269258786982537,loss
seed20260101,bowphs/PhilTa,ig,199,0.11468787325727037,0.4062057283413138,0.2915178550840434,0.010110493951987336,28.833196129526602,win
seed20260101,bowphs/PhilTa,retrieval_mark,199,0.20176620733704176,0.31593912321228595,0.11417291587524417,0.013839668199469088,8.249685919466192,win
seed20260101,google/mt5-base,ig,198,0.06177498249675662,0.558385813391484,0.4966108308947273,0.02150049978801929,23.09764125443509,win
seed20260101,google/mt5-base,retrieval_mark,198,0.0418714709087848,0.4605900449077148,0.41871857399893003,0.022187511053441595,18.871813651850818,win
seed7,bowphs/LaTa,ig,194,0.8320858236370734,0.18246565446062502,-0.6496201691764485,0.07664327679967842,-8.475892423993727,loss
seed7,bowphs/LaTa,retrieval_mark,194,0.504615496375631,0.3299416522030035,-0.17467384417262746,0.07935951569970433,-2.20104473461748,loss
seed7,bowphs/PhilTa,ig,199,0.11375941426303801,0.40050480203445776,0.28674538777141967,0.010041876325577596,28.554961092385934,win
seed7,bowphs/PhilTa,retrieval_mark,199,0.2008377483428094,0.31023819690542986,0.1094004485626205,0.013926927788472064,7.855318145124304,win
seed7,google/mt5-base,ig,198,0.06189430687032342,0.5665357916888,0.5046414848184766,0.021752612289230942,23.199121011700708,win
seed7,google/mt5-base,retrieval_mark,198,0.041990795282351605,0.46874002320503094,0.4267492279226794,0.022006187537263872,19.39223807849722,win
side_both,bowphs/LaTa,ig,194,1.2990413920321908,0.15625604917451838,-1.1427853428576724,0.12829431501540128,-8.907529088256833,loss
side_both,bowphs/LaTa,retrieval_mark,194,0.7854287157293889,0.15345313914555012,-0.6319755765838388,0.10555311269930175,-5.987275603934127,loss
side_both,bowphs/PhilTa,ig,199,0.01067921128331054,0.23171855676780953,0.221039345484499,0.011856426688522477,18.64299854343758,win
side_both,bowphs/PhilTa,retrieval_mark,199,0.12736968958019368,0.1279407290857322,0.0005710395055385275,0.0151332405386635,0.03773411940949424,tie
side_both,google/mt5-base,ig,198,-1.614757470427634e-05,0.3876658214837129,0.3876819690584172,0.0235658357887765,16.451017164562234,win
side_both,google/mt5-base,retrieval_mark,198,0.031987888049537457,0.17000812628148823,0.13802023823195078,0.019681331056683755,7.012749180146496,win
zero_both,bowphs/LaTa,ig,194,1.2990413920321908,0.05308778107127958,-1.245953610960911,0.1273713753626278,-9.782053521944523,loss
zero_both,bowphs/LaTa,retrieval_mark,194,0.7854287157293888,0.08071464411393213,-0.7047140716154567,0.10402709406150802,-6.774331994689585,loss
zero_both,bowphs/PhilTa,ig,199,0.010679211283310534,0.09726881801762488,0.08658960673431436,0.008094685114614216,10.69709389658465,win
