threshold,precision,recall,f1,tp,fp,fn,total_pos,total_neg,layer
-0.04459494352340698,0.0021710080542261746,0.9942429476108232,0.00433255563081709,1727,793756,10,1737,814266,3
-0.04044991731643677,0.0021720838799178456,0.9942429476108232,0.00433469791397369,1727,793362,10,1737,814266,3
-0.03630483150482178,0.0021730240517398663,0.9942429476108232,0.004336570066869057,1727,793018,10,1737,814266,3
-0.03215980529785156,0.0021738473699845426,0.9942429476108232,0.004338209527733015,1727,792717,10,1737,814266,3
-0.028014779090881348,0.002173409356489503,0.9936672423719056,0.004337331837297285,1726,792418,11,1737,814266,3
-0.023869752883911133,0.002172853315396272,0.9930915371329879,0.004336219118578625,1725,792162,12,1737,814266,3
-0.019724667072296143,0.002172056070291968,0.9925158318940702,0.004334626094499376,1724,791994,13,1737,814266,3
-0.015579640865325928,0.0021728034079236745,0.9925158318940702,0.004336114248058935,1724,791721,13,1737,814266,3
-0.011434614658355713,0.0021741076889512704,0.9925158318940702,0.004338711422840648,1724,791245,13,1737,814266,3
-0.007289588451385498,0.0021750869277780303,0.9925158318940702,0.0043406613465869544,1724,790888,13,1737,814266,3
-0.003144502639770508,0.00217552883395945,0.9925158318940702,0.00434154129752653,1724,790727,13,1737,814266,3
0.001000523567199707,0.002175806146273743,0.9925158318940702,0.004342093498571315,1724,790626,13,1737,814266,3
0.005145549774169922,0.0021747060107965384,0.9919401266551525,0.00433989733359529,1723,790568,14,1737,814266,3
0.009290575981140137,0.002172280389521051,0.9907887161773172,0.004335056272607281,1721,790534,16,1737,814266,3
0.013435661792755127,0.0021723461970056712,0.9907887161773172,0.004335187312335006,1721,790510,16,1737,814266,3
0.017580687999725342,0.00217240103962202,0.9907887161773172,0.004335296518159879,1721,790490,16,1737,814266,3
0.021725714206695557,0.0021724504003443603,0.9907887161773172,0.004335394808106508,1721,790472,16,1737,814266,3
0.025870800018310547,0.0021724695967866134,0.9907887161773172,0.00433543303317828,1721,790465,16,1737,814266,3
0.03001582622528076,0.0021724997633098746,0.9907887161773172,0.004335493102510102,1721,790454,16,1737,814266,3
0.03416085243225098,0.0021725491285187154,0.9907887161773172,0.004335591401370964,1721,790436,16,1737,814266,3
0.03830587863922119,0.0021725820399043105,0.9907887161773172,0.004335656936421282,1721,790424,16,1737,814266,3
0.04245096445083618,0.002172614952287053,0.9907887161773172,0.004335722473452833,1721,790412,16,1737,814266,3
0.046595990657806396,0.0021713717262152737,0.9902130109383995,0.004333241377920371,1720,790406,17,1737,814266,3
0.05074101686477661,0.0021713854322761295,0.9902130109383995,0.00433326867021558,1720,790401,17,1737,814266,3
0.054886043071746826,0.00217140462105202,0.9902130109383995,0.004333306880006449,1720,790394,17,1737,814266,3
0.059031128883361816,0.0021714210688441476,0.9902130109383995,0.004333339631792101,1720,790388,17,1737,814266,3
0.06317615509033203,0.002171429292833652,0.9902130109383995,0.0043333560078705835,1720,790385,17,1737,814266,3
0.06732118129730225,0.0021714375168854516,0.9902130109383995,0.0043333723840728415,1720,790382,17,1737,814266,3
0.07146620750427246,0.0021714484823847553,0.9902130109383995,0.004333394219201723,1720,790378,17,1737,814266,3
0.07561129331588745,0.002171467672275029,0.9902130109383995,0.0043334324312067594,1720,790371,17,1737,814266,3
0.07975631952285767,0.002171478638078898,0.9902130109383995,0.004333454266940783,1720,790367,17,1737,814266,3
