group,diagnostic,retrieval_target,n,pearson,spearman
main_all,delta_cosine_std,aucroc_gain__abtt_optimal_minus_baseline,36,-0.7208765380033497,-0.48262548262548266
main_all,delta_cosine_std,gap__baseline,36,0.05566776993703597,0.007464607464607464
main_all,delta_cosine_std,gap__abtt_optimal,36,0.2040104126630565,0.1431145431145431
main_all,delta_cosine_std,gap_gain__abtt_optimal_minus_baseline,36,0.009141454551112068,0.06743886743886744
main_all,delta_cosine_std,dir_acc_at_1__baseline,36,0.7125943665106566,0.5647528508502779
main_all,delta_cosine_std,dir_acc_at_1__abtt_optimal,36,0.4173153869911552,0.3862744227944172
main_all,delta_cosine_std,dir_acc_at_1_gain__abtt_optimal_minus_baseline,36,-0.5531001437945982,-0.3763676179974769
main_all,delta_cosine_std,overall_assignment_acc__baseline,36,0.21107124938201177,-0.29788878433269733
main_all,delta_cosine_std,overall_assignment_acc__abtt_optimal,36,0.40342520937451143,0.3677095677921298
main_all,delta_cosine_std,overall_assignment_acc_gain__abtt_optimal_minus_baseline,36,-0.017254180309230507,0.2527670527670528
main_all,delta_cosine_std,train_dir_acc_at_1__abtt_optimal,36,0.45980919238862583,0.3800632030847023
main_all,delta_cosine_iqr,aucroc__baseline,36,0.6292890535908343,0.4674388674388675
main_all,delta_cosine_iqr,aucroc__abtt_optimal,36,0.15595557529878493,0.07052767052767053
main_all,delta_cosine_iqr,aucroc_gain__abtt_optimal_minus_baseline,36,-0.6246878585941152,-0.45894465894465897
main_all,delta_cosine_iqr,gap__baseline,36,0.019251489909823203,-0.04041184041184042
main_all,delta_cosine_iqr,gap__abtt_optimal,36,0.21038536489839668,0.09446589446589447
main_all,delta_cosine_iqr,gap_gain__abtt_optimal_minus_baseline,36,0.04059976188296881,0.07001287001287002
main_all,delta_cosine_iqr,dir_acc_at_1__baseline,36,0.6343954759815263,0.5608908527820061
main_all,delta_cosine_iqr,dir_acc_at_1__abtt_optimal,36,0.3980556042247694,0.3279469849524602
main_all,delta_cosine_iqr,dir_acc_at_1_gain__abtt_optimal_minus_baseline,36,-0.4830958860124125,-0.3748230176500181
main_all,delta_cosine_iqr,overall_assignment_acc__baseline,36,0.12805897004933914,-0.3147528425641508
main_all,delta_cosine_iqr,overall_assignment_acc__abtt_optimal,36,0.38020774804711777,0.3114458839247767
main_all,delta_cosine_iqr,overall_assignment_acc_gain__abtt_optimal_minus_baseline,36,0.048992772735701795,0.23912483912483914
main_all,delta_cosine_iqr,train_dir_acc_at_1__abtt_optimal,36,0.4610611147873915,0.3570095557271416
appendix_all,anisotropy_mean_cosine,aucroc__baseline,64,-0.05699009883291582,0.10489926739926737
appendix_all,anisotropy_mean_cosine,aucroc__abtt_optimal,64,0.1456137487286392,0.3027014652014652
appendix_all,anisotropy_mean_cosine,aucroc_gain__abtt_optimal_minus_baseline,64,0.07845515632841313,-0.05709706959706959
appendix_all,anisotropy_mean_cosine,gap__baseline,64,-0.9888536204831982,-0.9830128205128205
appendix_all,anisotropy_mean_cosine,gap__abtt_optimal,64,0.15117020965354142,0.25114468864468864
appendix_all,anisotropy_mean_cosine,gap_gain__abtt_optimal_minus_baseline,64,0.8231230001986822,0.771565934065934
appendix_all,anisotropy_mean_cosine,dir_acc_at_1__baseline,64,-0.14957297773817446,0.012752415417004635
appendix_all,anisotropy_mean_cosine,dir_acc_at_1__abtt_optimal,64,0.13423001792395997,0.2479358019185969
appendix_all,anisotropy_mean_cosine,dir_acc_at_1_gain__abtt_optimal_minus_baseline,64,0.18173002310863723,0.04636201296128256
appendix_all,anisotropy_mean_cosine,overall_assignment_acc__baseline,64,-0.16781222546882021,-0.016966422188592296
appendix_all,anisotropy_mean_cosine,overall_assignment_acc__abtt_optimal,64,0.13895225606465847,0.26735985671856044
appendix_all,anisotropy_mean_cosine,overall_assignment_acc_gain__abtt_optimal_minus_baseline,64,0.19225263947065868,0.06683074820632014
appendix_all,anisotropy_mean_cosine,train_dir_acc_at_1__abtt_optimal,64,0.20086446028675756,0.2770118770141594
appendix_all,cosine_std,aucroc__baseline,64,-0.5094802977468619,-0.5906135531135531
appendix_all,cosine_std,aucroc__abtt_optimal,64,-0.3124091590928009,-0.3663003663003662
appendix_all,cosine_std,aucroc_gain__abtt_optimal_minus_baseline,64,0.4863539342298844,0.5576007326007325
appendix_all,cosine_std,gap__baseline,64,0.6019380610576214,0.7860805860805861
appendix_all,cosine_std,gap__abtt_optimal,64,-0.21433546122901537,-0.3010531135531135
appendix_all,cosine_std,gap_gain__abtt_optimal_minus_baseline,64,-0.5796460032593531,-0.6836996336996336
appendix_all,cosine_std,dir_acc_at_1__baseline,64,-0.44793855125323767,-0.5165987459053727
appendix_all,cosine_std,dir_acc_at_1__abtt_optimal,64,-0.3935136038099278,-0.28838426623159846
appendix_all,cosine_std,dir_acc_at_1_gain__abtt_optimal_minus_baseline,64,0.3588265269262275,0.44358716104930845
appendix_all,cosine_std,overall_assignment_acc__baseline,64,-0.4196700672687121,-0.4928734197457999
appendix_all,cosine_std,overall_assignment_acc__abtt_optimal,64,-0.343695760250238,-0.25158026606590606
appendix_all,cosine_std,overall_assignment_acc_gain__abtt_optimal_minus_baseline,64,0.34186738538764744,0.42534485788866583
appendix_all,cosine_std,train_dir_acc_at_1__abtt_optimal,64,-0.23496649331118302,-0.2058123130560723
appendix_all,cosine_iqr,aucroc__baseline,64,-0.2878438563497338,-0.40856227106227105
appendix_all,cosine_iqr,aucroc__abtt_optimal,64,-0.25856918523238004,-0.2670787545787546
appendix_all,cosine_iqr,aucroc_gain__abtt_optimal_minus_baseline,64,0.26384623662519047,0.37646520146520146
appendix_all,cosine_iqr,gap__baseline,64,0.8216648483486952,0.8999542124542124
appendix_all,cosine_iqr,gap__abtt_optimal,64,-0.16095170822302765,-0.2115384615384615
appendix_all,cosine_iqr,gap_gain__abtt_optimal_minus_baseline,64,-0.7066624263201856,-0.6980311355311354
appendix_all,cosine_iqr,dir_acc_at_1__baseline,64,-0.2245624931156956,-0.33215806619372223
appendix_all,cosine_iqr,dir_acc_at_1__abtt_optimal,64,-0.3182581276342384,-0.20535726558911221
appendix_all,cosine_iqr,dir_acc_at_1_gain__abtt_optimal_minus_baseline,64,0.15169048670907667,0.2684875683935608
appendix_all,cosine_iqr,overall_assignment_acc__baseline,64,-0.20134768266973938,-0.30921934096752896
appendix_all,cosine_iqr,overall_assignment_acc__abtt_optimal,64,-0.28552942416026117,-0.1877748385502379
appendix_all,cosine_iqr,overall_assignment_acc_gain__abtt_optimal_minus_baseline,64,0.1397736670181956,0.2523725034183854
appendix_all,cosine_iqr,train_dir_acc_at_1__abtt_optimal,64,-0.2000254405631281,-0.16749874904774817
appendix_all,pc1_variance_ratio,aucroc__baseline,64,-0.4614139124650683,-0.43438644688644684
appendix_all,pc1_variance_ratio,aucroc__abtt_optimal,64,-0.33571740696710856,-0.4543498168498168
appendix_all,pc1_variance_ratio,aucroc_gain__abtt_optimal_minus_baseline,64,0.4334383836095039,0.407554945054945
appendix_all,pc1_variance_ratio,gap__baseline,64,0.2627049510945935,0.5642399267399266
appendix_all,pc1_variance_ratio,gap__abtt_optimal,64,-0.326231115029633,-0.46309523809523806
appendix_all,pc1_variance_ratio,gap_gain__abtt_optimal_minus_baseline,64,-0.40248740838178465,-0.6445054945054944
appendix_all,pc1_variance_ratio,dir_acc_at_1__baseline,64,-0.46936506415302287,-0.42321077016755954
appendix_all,pc1_variance_ratio,dir_acc_at_1__abtt_optimal,64,-0.4580620077737974,-0.48238114773280094
appendix_all,pc1_variance_ratio,dir_acc_at_1_gain__abtt_optimal_minus_baseline,64,0.3653328844215098,0.334447548315267
appendix_all,pc1_variance_ratio,overall_assignment_acc__baseline,64,-0.4337463342478477,-0.39943216609985505
appendix_all,pc1_variance_ratio,overall_assignment_acc__abtt_optimal,64,-0.406144498307436,-0.4731357957811153
appendix_all,pc1_variance_ratio,overall_assignment_acc_gain__abtt_optimal_minus_baseline,64,0.3430993898480247,0.30983916254749244
appendix_all,pc1_variance_ratio,train_dir_acc_at_1__abtt_optimal,64,-0.25135284544879655,-0.32249348975805164
appendix_all,pc10_cumulative_variance_ratio,aucroc__baseline,64,-0.5414444107822748,-0.47417582417582416
appendix_all,pc10_cumulative_variance_ratio,aucroc__abtt_optimal,64,-0.44169146685660166,-0.5315018315018315
appendix_all,pc10_cumulative_variance_ratio,aucroc_gain__abtt_optimal_minus_baseline,64,0.5022566045968548,0.44798534798534795
appendix_all,pc10_cumulative_variance_ratio,gap__baseline,64,0.1303972735987457,0.44858058608058604
appendix_all,pc10_cumulative_variance_ratio,gap__abtt_optimal,64,-0.4414642028387224,-0.5654304029304029
appendix_all,pc10_cumulative_variance_ratio,gap_gain__abtt_optimal_minus_baseline,64,-0.37939242472458923,-0.6296703296703297
appendix_all,pc10_cumulative_variance_ratio,dir_acc_at_1__baseline,64,-0.5376371256306313,-0.4673519854709437
appendix_all,pc10_cumulative_variance_ratio,dir_acc_at_1__abtt_optimal,64,-0.513976004466489,-0.5455732842217994
appendix_all,pc10_cumulative_variance_ratio,dir_acc_at_1_gain__abtt_optimal_minus_baseline,64,0.4209700235616583,0.3693163610263946
appendix_all,pc10_cumulative_variance_ratio,overall_assignment_acc__baseline,64,-0.496302453242953,-0.4423633963341473
appendix_all,pc10_cumulative_variance_ratio,overall_assignment_acc__abtt_optimal,64,-0.4588630067211398,-0.526955880010053
appendix_all,pc10_cumulative_variance_ratio,overall_assignment_acc_gain__abtt_optimal_minus_baseline,64,0.3937593200528621,0.3462652401070181
appendix_all,pc10_cumulative_variance_ratio,train_dir_acc_at_1__abtt_optimal,64,-0.35871229535637433,-0.4199835327846122
appendix_all,effective_rank_entropy,aucroc__baseline,64,0.48541878820759093,0.40769230769230763
appendix_all,effective_rank_entropy,aucroc__abtt_optimal,64,0.459296116375561,0.4857142857142857
