model,repr,pooling,layer,method,D,sif_a,tau,aucroc,spearman,same_avg,diff_avg,gap,acc_at_1,acc_at_3,existing_acc,new_acc,overall_assignment_acc,n_train,n_test,n_existing,n_new
bowphs/LaTa,hidden,sif,5,sif_abtt_fixed,10,0.001,0.4221105527638191,0.9571845319307493,0.05223676188159973,0.5795606970787048,0.0011807818664237857,0.578379915212281,0.890625,0.925,0.903125,0.7899686520376176,0.8466353677621283,639,639,320,319
bowphs/LaTa,hidden,sif,5,sif_abtt_optimal,2,0.001,0.5728643216080402,0.9693696613826858,0.053629004315939546,0.6386091709136963,0.0022734799422323704,0.6363356909714639,0.89375,0.915625,0.865625,0.8808777429467085,0.8732394366197183,639,639,320,319
bowphs/LaTa,hidden,sif,6,sif_only,10,0.001,0.9195979899497487,0.8659871361939933,0.041816775393483024,0.8529518246650696,0.7085778713226318,0.14437395334243774,0.63125,0.678125,0.459375,0.8714733542319749,0.6651017214397497,639,639,320,319
bowphs/LaTa,hidden,sif,6,sif_abtt_fixed,10,0.001,0.4271356783919598,0.9569206912627715,0.05220661610634902,0.58038729429245,0.0008444284903816879,0.5795428658020683,0.896875,0.921875,0.903125,0.8401253918495298,0.8716744913928013,639,639,320,319
bowphs/LaTa,hidden,sif,6,sif_abtt_optimal,2,0.001,0.5728643216080402,0.966916461936573,0.053348707879020234,0.6325269937515259,0.002216000808402896,0.630310992943123,0.896875,0.915625,0.8625,0.8683385579937304,0.865414710485133,639,639,320,319
bowphs/LaTa,hidden,sif,7,sif_only,10,0.001,0.9296482412060302,0.8573240634148506,0.04082695435117259,0.8700650930404663,0.7464807629585266,0.1235843300819397,0.625,0.66875,0.45625,0.8526645768025078,0.6541471048513302,639,639,320,319
bowphs/LaTa,hidden,sif,7,sif_abtt_fixed,10,0.001,0.4221105527638191,0.9615001237295817,0.05272985061367442,0.5812404155731201,0.000679931603372097,0.580560483969748,0.903125,0.925,0.909375,0.8369905956112853,0.8732394366197183,639,639,320,319
bowphs/LaTa,hidden,sif,7,sif_abtt_optimal,2,0.001,0.5577889447236181,0.9684058183387815,0.05351887801887747,0.6289842128753662,0.002150786342099309,0.6268334265332669,0.890625,0.91875,0.859375,0.8463949843260188,0.8528951486697965,639,639,320,319
bowphs/LaTa,hidden,sif,8,sif_only,10,0.001,0.9346733668341709,0.8459657962147906,0.039529187130985084,0.8700740933418274,0.7549582719802856,0.11511582136154175,0.596875,0.646875,0.409375,0.8871473354231975,0.647887323943662,639,639,320,319
bowphs/LaTa,hidden,sif,8,sif_abtt_fixed,10,0.001,0.4020100502512563,0.9564958561319413,0.052158075506179596,0.5754888653755188,0.0007491594296880066,0.5747397059458308,0.903125,0.915625,0.915625,0.7492163009404389,0.8325508607198748,639,639,320,319
bowphs/LaTa,hidden,sif,8,sif_abtt_optimal,2,0.001,0.5879396984924623,0.9680920146348225,0.05348302359201749,0.6219155192375183,0.0019178097136318684,0.6199977095238864,0.88125,0.9125,0.825,0.8871473354231975,0.8560250391236307,639,639,320,319
bowphs/LaTa,hidden,sif,9,sif_only,10,0.001,0.9396984924623115,0.8538804742597119,0.04043349846160273,0.8847343921661377,0.7773101329803467,0.10742425918579102,0.609375,0.66875,0.4375,0.8871473354231975,0.6619718309859155,639,639,320,319
bowphs/LaTa,hidden,sif,9,sif_abtt_fixed,10,0.001,0.4321608040201005,0.9579056831498891,0.05231915881737518,0.5792064666748047,0.0008384998072870076,0.5783679668675177,0.9,0.9125,0.90625,0.8087774294670846,0.8575899843505478,639,639,320,319
bowphs/LaTa,hidden,sif,9,sif_abtt_optimal,2,0.001,0.5979899497487438,0.9702616956974359,0.053730925927094636,0.6258332133293152,0.0019301986321806908,0.6239030146971345,0.88125,0.909375,0.8125,0.890282131661442,0.8513302034428795,639,639,320,319
bowphs/LaTa,hidden,sif,10,sif_only,10,0.001,0.9396984924623115,0.8578009631926505,0.04088144372778826,0.8889591097831726,0.7832854986190796,0.10567361116409302,0.61875,0.678125,0.45,0.8620689655172413,0.6557120500782473,639,639,320,319
bowphs/LaTa,hidden,sif,10,sif_abtt_fixed,10,0.001,0.4321608040201005,0.9568799642540304,0.052201962740127845,0.5765727162361145,0.0008067324524745345,0.57576598378364,0.903125,0.9125,0.90625,0.8119122257053292,0.8591549295774648,639,639,320,319
bowphs/LaTa,hidden,sif,10,sif_abtt_optimal,3,0.001,0.5376884422110553,0.9634211952733309,0.05294934744652871,0.6124746203422546,0.0014034488704055548,0.6110711714718491,0.878125,0.9125,0.8625,0.8683385579937304,0.865414710485133,639,639,320,319
bowphs/LaTa,hidden,sif,11,sif_only,10,0.001,0.9396984924623115,0.8682624951060116,0.04207675221551424,0.8880974054336548,0.7761762142181396,0.11192119121551514,0.6375,0.696875,0.44375,0.9028213166144201,0.672926447574335,639,639,320,319
bowphs/LaTa,hidden,sif,11,sif_abtt_fixed,10,0.001,0.4271356783919598,0.9556755088741298,0.052064344678967325,0.5762006044387817,0.0007246492896229029,0.5754759551491588,0.90625,0.9125,0.90625,0.8025078369905956,0.8544600938967136,639,639,320,319
bowphs/LaTa,hidden,sif,11,sif_abtt_optimal,3,0.001,0.5326633165829145,0.9658714745862802,0.05322931023633127,0.6133129596710205,0.001126146991737187,0.6121868126792833,0.890625,0.9125,0.875,0.8589341692789969,0.86697965571205,639,639,320,319
bowphs/LaTa,hidden,sif,12,sif_only,10,0.001,0.8492462311557789,0.9284040755502161,0.04894837887261696,0.8161445260047913,0.5304232239723206,0.2857213020324707,0.86875,0.896875,0.684375,0.9373040752351097,0.810641627543036,639,639,320,319
bowphs/LaTa,hidden,sif,12,sif_abtt_fixed,10,0.001,0.40703517587939697,0.9649437128847205,0.05312330650325865,0.5642801523208618,0.0006278966320678592,0.563652255688794,0.90625,0.915625,0.925,0.780564263322884,0.8528951486697965,639,639,320,319
bowphs/LaTa,hidden,sif,12,sif_abtt_optimal,3,0.001,0.5025125628140703,0.9606427881183675,0.05263189358965533,0.592529833316803,0.001018668175674975,0.591511165141128,0.9,0.9125,0.9,0.8714733542319749,0.8857589984350548,639,639,320,319
bowphs/LaTa,ff1,mean,1,baseline,10,0.001,0.9396984924623115,0.8159575786946023,0.03610052320288705,0.8176816701889038,0.633419930934906,0.1842617392539978,0.5375,0.584375,0.275,0.8714733542319749,0.5727699530516432,639,639,320,319
bowphs/LaTa,ff1,mean,1,whitening,10,0.001,0.0,0.5817958721617025,0.00934581599706049,0.1799023300409317,0.0012524031335487962,0.1786499269073829,0.221875,0.25,1.0,0.0,0.5007824726134585,639,639,320,319
bowphs/LaTa,ff1,mean,2,baseline,10,0.001,0.9899497487437187,0.537903848332885,0.004330798969518784,0.9049458503723145,0.8722337484359741,0.03271210193634033,0.125,0.1625,0.43125,0.6269592476489029,0.5289514866979655,639,639,320,319
bowphs/LaTa,ff1,mean,2,whitening,10,0.001,0.0,0.5608338400428038,0.0069507225777628865,0.07608263939619064,-0.0016326522454619408,0.07771529164165258,0.215625,0.2375,1.0,0.0,0.5007824726134585,639,639,320,319
bowphs/LaTa,ff1,mean,3,baseline,10,0.001,0.005025125628140704,0.4636870158800823,-0.004149030801055777,0.9603663086891174,0.9333321452140808,0.02703416347503662,0.065625,0.084375,1.0,0.0,0.5007824726134585,639,639,320,319
bowphs/LaTa,ff1,mean,3,whitening,10,0.001,0.005025125628140704,0.5343242738856605,0.003921805743489693,0.025932472199201584,0.004277036990970373,0.02165543520823121,0.225,0.24375,1.0,0.0,0.5007824726134585,639,639,320,319
bowphs/LaTa,ff1,mean,4,baseline,10,0.001,0.5879396984924623,0.48062128841672985,-0.002214163148247252,0.8245298862457275,0.8221348524093628,0.002395033836364746,0.05625,0.075,1.0,0.009404388714733543,0.5054773082942097,639,639,320,319
bowphs/LaTa,ff1,mean,4,whitening,10,0.001,0.0,0.5598159413520456,0.006834419968444867,0.11058615893125534,0.004685336723923683,0.10590082220733166,0.25625,0.284375,1.0,0.0,0.5007824726134585,639,639,320,319
bowphs/LaTa,ff1,mean,5,baseline,10,0.001,0.9949748743718593,0.50607497202977,0.0006941111196774812,0.920989990234375,0.8920512199401855,0.028938770294189453,0.078125,0.1,0.540625,0.3793103448275862,0.460093896713615,639,639,320,319
bowphs/LaTa,ff1,mean,5,whitening,10,0.001,0.0,0.5448562650726987,0.005125164798359342,0.04566262289881706,0.010139231570065022,0.03552339132875204,0.240625,0.265625,1.0,0.0,0.5007824726134585,639,639,320,319
bowphs/LaTa,ff1,mean,6,baseline,10,0.001,0.9899497487437187,0.49443652690157197,-0.000635668530279599,0.9403865337371826,0.9155054688453674,0.024881064891815186,0.078125,0.09375,0.865625,0.12852664576802508,0.49765258215962443,639,639,320,319
