model,language,layer,method,D,D_source,sif_a,spearman_train,spearman_test,n_train_pairs,n_test_pairs
Qwen/Qwen3-Embedding-8B,english,30,sif_abtt_optimal,7,train_sweep,0.001,0.7422055408011496,0.7565723946227978,3564,3564
Qwen/Qwen3-Embedding-8B,english,30,whitening,0,none,0.001,0.7181313677082014,0.6931123407728975,3564,3564
Qwen/Qwen3-Embedding-8B,english,31,baseline_mean,0,none,0.001,0.6093544504760493,0.6306504897221551,3564,3564
Qwen/Qwen3-Embedding-8B,english,31,sif_abtt_optimal,7,train_sweep,0.001,0.7414987196443388,0.7570210520861558,3564,3564
Qwen/Qwen3-Embedding-8B,english,31,whitening,0,none,0.001,0.7202344793361733,0.6955681468793252,3564,3564
Qwen/Qwen3-Embedding-8B,english,32,baseline_mean,0,none,0.001,0.6386909630117437,0.659712702064426,3564,3564
Qwen/Qwen3-Embedding-8B,english,32,sif_abtt_optimal,10,train_sweep,0.001,0.7419077033663736,0.7561369305666796,3564,3564
Qwen/Qwen3-Embedding-8B,english,32,whitening,0,none,0.001,0.7216136109452485,0.6999158157406165,3564,3564
Qwen/Qwen3-Embedding-8B,english,33,baseline_mean,0,none,0.001,0.6499578359159707,0.6704709568469979,3564,3564
Qwen/Qwen3-Embedding-8B,english,33,sif_abtt_optimal,10,train_sweep,0.001,0.7430462637855582,0.7562346063998331,3564,3564
Qwen/Qwen3-Embedding-8B,english,33,whitening,0,none,0.001,0.7239233599400132,0.7014736307905086,3564,3564
Qwen/Qwen3-Embedding-8B,english,34,baseline_mean,0,none,0.001,0.662025546786013,0.6828450499975082,3564,3564
Qwen/Qwen3-Embedding-8B,english,34,sif_abtt_optimal,10,train_sweep,0.001,0.7413463203846038,0.7546593407582317,3564,3564
Qwen/Qwen3-Embedding-8B,english,34,whitening,0,none,0.001,0.7229696496496458,0.7024929549892851,3564,3564
Qwen/Qwen3-Embedding-8B,english,35,baseline_mean,0,none,0.001,0.704664249239066,0.7254949462388697,3564,3564
Qwen/Qwen3-Embedding-8B,english,35,sif_abtt_optimal,7,train_sweep,0.001,0.7382339412102893,0.7543891460329648,3564,3564
Qwen/Qwen3-Embedding-8B,english,35,whitening,0,none,0.001,0.7219282888937834,0.7019920754964608,3564,3564
Qwen/Qwen3-Embedding-8B,english,36,baseline_mean,0,none,0.001,0.6824766609588332,0.6965263160113412,3564,3564
Qwen/Qwen3-Embedding-8B,english,36,sif_abtt_optimal,10,train_sweep,0.001,0.7269213377447742,0.7469431893556311,3564,3564
Qwen/Qwen3-Embedding-8B,english,36,whitening,0,none,0.001,0.7287750816205065,0.7047237317312841,3564,3564
Qwen/Qwen3-Embedding-8B,french,0,baseline_mean,0,none,0.001,0.7190017043679673,0.6986772024775779,505,505
Qwen/Qwen3-Embedding-8B,french,0,sif_abtt_optimal,1,train_sweep,0.001,0.8516337712158141,0.8654391835423014,505,505
Qwen/Qwen3-Embedding-8B,french,0,whitening,0,none,0.001,0.14998901740066858,0.7052162864055538,505,505
Qwen/Qwen3-Embedding-8B,french,1,baseline_mean,0,none,0.001,0.6657726517791637,0.6643295866265071,505,505
Qwen/Qwen3-Embedding-8B,french,1,sif_abtt_optimal,7,train_sweep,0.001,0.8444214459846482,0.8631005129269463,505,505
Qwen/Qwen3-Embedding-8B,french,1,whitening,0,none,0.001,0.0738596648853175,0.6688631233936009,505,505
Qwen/Qwen3-Embedding-8B,french,2,baseline_mean,0,none,0.001,0.7022829871306477,0.6899737592290199,505,505
Qwen/Qwen3-Embedding-8B,french,2,sif_abtt_optimal,10,train_sweep,0.001,0.852490608159362,0.8636546320720218,505,505
Qwen/Qwen3-Embedding-8B,french,2,whitening,0,none,0.001,0.12082282203458142,0.6616248808575377,505,505
Qwen/Qwen3-Embedding-8B,french,3,baseline_mean,0,none,0.001,0.7062203428699753,0.687601937882172,505,505
Qwen/Qwen3-Embedding-8B,french,3,sif_abtt_optimal,10,train_sweep,0.001,0.8542128557813162,0.8634605061778073,505,505
Qwen/Qwen3-Embedding-8B,french,3,whitening,0,none,0.001,0.18796072667151045,0.660149188316508,505,505
