model,repr,pooling,layer,method,D,sif_a,tau,aucroc,spearman,same_avg,diff_avg,gap,dir_acc_at_1,dir_acc_at_3,existing_acc,new_acc,overall_assignment_acc,train_aucroc,train_dir_acc_at_1,n_train,n_test,n_existing,n_new
google/mt5-base,hidden,sif,4,sif_only,10,0.001,0.9899497487437187,0.49327861539021817,-0.004562627175419991,0.9836506247520447,0.983837366104126,-0.00018674135208129883,0.3008849557522124,0.4424778761061947,0.8481675392670157,0.14285714285714285,0.7389380530973452,0.5161829913248682,0.2863849765258216,213,226,191,35
google/mt5-base,hidden,sif,4,sif_abtt_fixed,10,0.001,0.20603015075376885,0.6323002041337898,0.08980835670513217,0.07386552542448044,0.001816260046325624,0.07204926537815481,0.5176991150442478,0.5973451327433629,0.9424083769633508,0.05714285714285714,0.8053097345132744,0.5426552834092881,0.48826291079812206,213,226,191,35
google/mt5-base,hidden,sif,4,sif_abtt_optimal,3,0.001,0.16080402010050251,0.6291394781020262,0.08766278472532633,0.08967150747776031,0.002858234103769064,0.08681327337399125,0.5,0.584070796460177,1.0,0.0,0.8451327433628318,0.6249238754238232,0.49765258215962443,213,226,191,35
google/mt5-base,hidden,sif,5,sif_only,10,0.001,0.0,0.4786976447910916,-0.014460518243578822,0.8334906101226807,0.866364598274231,-0.03287398815155029,0.2743362831858407,0.39823008849557523,1.0,0.0,0.8451327433628318,0.4607128638439122,0.3051643192488263,213,226,191,35
google/mt5-base,hidden,sif,5,sif_abtt_fixed,10,0.001,0.21105527638190955,0.6290629359879105,0.08761082621523401,0.07173345237970352,0.0010273290099576116,0.07070612336974591,0.5132743362831859,0.6017699115044248,0.93717277486911,0.05714285714285714,0.8008849557522124,0.5651972813176223,0.4835680751173709,213,226,191,35
google/mt5-base,hidden,sif,5,sif_abtt_optimal,3,0.001,0.2562814070351759,0.666557010016865,0.11306264767517309,0.10986817628145218,0.0025607075076550245,0.10730746877379715,0.5132743362831859,0.588495575221239,0.9738219895287958,0.0,0.8230088495575221,0.6589061722588014,0.5211267605633803,213,226,191,35
google/mt5-base,hidden,sif,6,sif_only,10,0.001,0.005025125628140704,0.49127363499627924,-0.005923652999673857,0.8323562741279602,0.8666030168533325,-0.034246742725372314,0.29646017699115046,0.42920353982300885,1.0,0.0,0.8451327433628318,0.4659268394308858,0.29107981220657275,213,226,191,35
google/mt5-base,hidden,sif,6,sif_abtt_fixed,10,0.001,0.16080402010050251,0.627782487132062,0.08674162870838553,0.07519543915987015,0.0018620259361341596,0.07333341322373599,0.5221238938053098,0.6061946902654868,1.0,0.0,0.8451327433628318,0.5895715951238254,0.4694835680751174,213,226,191,35
google/mt5-base,hidden,sif,6,sif_abtt_optimal,2,0.001,0.23618090452261306,0.690412649011382,0.1292563924261043,0.1276048868894577,0.0002096440875902772,0.12739524280186743,0.504424778761062,0.588495575221239,0.9895287958115183,0.0,0.8362831858407079,0.6723808818363617,0.5070422535211268,213,226,191,35
google/mt5-base,hidden,sif,7,sif_only,10,0.001,0.0,0.5018496603302687,0.0012555910690328063,0.8399190902709961,0.8714423179626465,-0.03152322769165039,0.3230088495575221,0.4557522123893805,1.0,0.0,0.8451327433628318,0.46858225500560546,0.30985915492957744,213,226,191,35
google/mt5-base,hidden,sif,7,sif_abtt_fixed,10,0.001,0.20100502512562815,0.6221285024462859,0.08290357662984399,0.07303950935602188,0.0022717290557920933,0.07076778030022979,0.5265486725663717,0.6061946902654868,0.9685863874345549,0.0,0.8185840707964602,0.5964085424830738,0.49295774647887325,213,226,191,35
google/mt5-base,hidden,sif,7,sif_abtt_optimal,5,0.001,0.1306532663316583,0.647501729851779,0.10012749455586115,0.09870526194572449,0.002539821667596698,0.09616544027812779,0.5088495575221239,0.5530973451327433,1.0,0.0,0.8451327433628318,0.6349365904287471,0.5164319248826291,213,226,191,35
google/mt5-base,hidden,sif,8,sif_only,10,0.001,0.9899497487437187,0.5041439900582269,0.0028130337349653563,0.8516914248466492,0.8793711066246033,-0.0276796817779541,0.2920353982300885,0.4646017699115044,0.643979057591623,0.2857142857142857,0.588495575221239,0.468874177868139,0.2676056338028169,213,226,191,35
google/mt5-base,hidden,sif,8,sif_abtt_fixed,10,0.001,0.1457286432160804,0.637283518758619,0.09319114284911068,0.07774027436971664,0.0019199964590370655,0.07582027791067958,0.5398230088495575,0.5973451327433629,1.0,0.0,0.8451327433628318,0.606404440916307,0.5117370892018779,213,226,191,35
google/mt5-base,hidden,sif,8,sif_abtt_optimal,10,0.001,0.1457286432160804,0.637283518758619,0.09319114284911068,0.07774027436971664,0.0019199964590370655,0.07582027791067958,0.5398230088495575,0.5973451327433629,1.0,0.0,0.8451327433628318,0.606404440916307,0.5117370892018779,213,226,191,35
google/mt5-base,hidden,sif,9,sif_only,10,0.001,0.0,0.5119010096146563,0.008078673224889572,0.8934526443481445,0.9087317585945129,-0.015279114246368408,0.336283185840708,0.4690265486725664,1.0,0.0,0.8451327433628318,0.4769014278157044,0.3145539906103286,213,226,191,35
google/mt5-base,hidden,sif,9,sif_abtt_fixed,10,0.001,0.17587939698492464,0.6408881286242691,0.09563803316737339,0.07892663776874542,0.0006467187195084989,0.07827991904923692,0.5442477876106194,0.584070796460177,0.9895287958115183,0.0,0.8362831858407079,0.6267552543279618,0.49765258215962443,213,226,191,35
google/mt5-base,hidden,sif,9,sif_abtt_optimal,7,0.001,0.19095477386934673,0.6445138077139627,0.09809922574924945,0.0924646258354187,-0.00014094500511419028,0.09260557084053289,0.5353982300884956,0.5973451327433629,0.9895287958115183,0.0,0.8362831858407079,0.6188278928436215,0.5023474178403756,213,226,191,35
google/mt5-base,hidden,sif,10,sif_only,10,0.001,0.06030150753768844,0.5086211800247964,0.0058522510684405685,0.906080424785614,0.9160940647125244,-0.0100136399269104,0.3407079646017699,0.4690265486725664,1.0,0.0,0.8451327433628318,0.4760110125366309,0.27230046948356806,213,226,191,35
google/mt5-base,hidden,sif,10,sif_abtt_fixed,10,0.001,0.1407035175879397,0.6378899941570167,0.09360283200158588,0.07675807923078537,0.0010221374686807394,0.07573594176210463,0.5442477876106194,0.588495575221239,1.0,0.0,0.8451327433628318,0.5996407270144217,0.4788732394366197,213,226,191,35
google/mt5-base,hidden,sif,10,sif_abtt_optimal,7,0.001,0.15577889447236182,0.6494777853836469,0.1014688855328582,0.08995731920003891,0.000796917243860662,0.08916040195617825,0.5176991150442478,0.5973451327433629,1.0,0.0,0.8451327433628318,0.6078514551290716,0.5023474178403756,213,226,191,35
google/mt5-base,hidden,sif,11,sif_only,10,0.001,0.02512562814070352,0.5183175753263031,0.012434382470512206,0.9262229800224304,0.9277790188789368,-0.0015560388565063477,0.36283185840707965,0.48672566371681414,1.0,0.0,0.8451327433628318,0.4821225788020358,0.27699530516431925,213,226,191,35
google/mt5-base,hidden,sif,11,sif_abtt_fixed,10,0.001,0.18090452261306533,0.6445947812136325,0.09815419238359437,0.08077606558799744,0.000603454012889415,0.08017261157510802,0.5442477876106194,0.584070796460177,0.9895287958115183,0.0,0.8362831858407079,0.6028885445464327,0.4694835680751174,213,226,191,35
google/mt5-base,hidden,sif,11,sif_abtt_optimal,7,0.001,0.18090452261306533,0.6448030160493504,0.09829554687747104,0.0889170840382576,3.932226491087931e-07,0.08891669081560849,0.5221238938053098,0.5929203539823009,1.0,0.0,0.8451327433628318,0.6085422660858029,0.5070422535211268,213,226,191,35
google/mt5-base,hidden,sif,12,sif_only,10,0.001,0.9547738693467337,0.5636515559642099,0.04320810901591442,0.9100173711776733,0.9019383788108826,0.008078992366790771,0.2920353982300885,0.48672566371681414,0.6073298429319371,0.34285714285714286,0.5663716814159292,0.5480219396588859,0.3145539906103286,213,226,191,35
google/mt5-base,hidden,sif,12,sif_abtt_fixed,10,0.001,0.25125628140703515,0.634106517456275,0.09103452284935477,0.07169089466333389,0.0005713658174499869,0.0711195288458839,0.5442477876106194,0.6592920353982301,0.806282722513089,0.2571428571428571,0.7212389380530974,0.5805644469959167,0.5727699530516432,213,226,191,35
