model,repr,pooling,layer,method,D,sif_a,tau,aucroc,spearman,same_avg,diff_avg,gap,dir_acc_at_1,dir_acc_at_3,existing_acc,new_acc,overall_assignment_acc,train_aucroc,train_dir_acc_at_1,n_train,n_test,n_existing,n_new
bowphs/PhilTa,ff1,mean,11,abtt_fixed,10,0.001,0.35175879396984927,0.9671156282916482,0.05337146412893292,0.41561511158943176,0.0008870133315213025,0.41472809825791046,0.7605633802816901,0.9092331768388107,0.78125,0.799373040752351,0.7902973395931142,0.9805635483790525,0.7636932707355243,639,639,320,319
bowphs/PhilTa,ff1,mean,11,abtt_optimal,7,0.001,0.37185929648241206,0.9650335291017154,0.05313356867971625,0.4224833846092224,0.001069732941687107,0.4214136516675353,0.7464788732394366,0.8982785602503912,0.765625,0.786833855799373,0.7762128325508607,0.9831038850659983,0.7699530516431925,639,639,320,319
bowphs/PhilTa,ff1,mean,11,whitening,10,0.001,0.0,0.5533888941760998,0.006100083552148447,0.10859106481075287,0.0006777524249628186,0.10791331238579005,0.10328638497652583,0.1189358372456964,1.0,0.0,0.5007824726134585,0.5198904581694457,0.02034428794992175,639,639,320,319
bowphs/PhilTa,ff1,mean,12,baseline,10,0.001,0.9447236180904522,0.6876930965707062,0.02144534407362158,0.7894454598426819,0.6960136890411377,0.09343177080154419,0.4428794992175274,0.5665101721439749,0.24375,0.8056426332288401,0.5242566510172144,0.6901830772138794,0.2863849765258216,639,639,320,319
bowphs/PhilTa,ff1,mean,12,abtt_fixed,10,0.001,0.35678391959798994,0.9557659776966423,0.05207468142049948,0.4135734736919403,0.0007811551331542432,0.41279231855878606,0.7996870109546166,0.9264475743348983,0.821875,0.8401253918495298,0.8309859154929577,0.9872700865085451,0.7762128325508607,639,639,320,319
bowphs/PhilTa,ff1,mean,12,abtt_optimal,7,0.001,0.36180904522613067,0.9581688933345704,0.05234923255518074,0.4197219908237457,0.0006154212751425803,0.41910656954860315,0.7527386541471048,0.9061032863849765,0.790625,0.7962382445141066,0.7934272300469484,0.9883079901030856,0.7652582159624414,639,639,320,319
bowphs/PhilTa,ff1,mean,12,whitening,10,0.001,0.0,0.5852930192137241,0.009745374816722262,0.19519858062267303,-0.0016161281382665038,0.19681470876093954,0.10954616588419405,0.12050078247261346,1.0,0.0,0.5007824726134585,0.5051851027089365,0.23943661971830985,639,639,320,319
bowphs/PhilTa,ff1,sif,1,sif_only,10,0.001,0.8743718592964824,0.9255218156290748,0.04861905905825498,0.8234752416610718,0.5711131691932678,0.25236207246780396,0.7167449139280125,0.9107981220657277,0.559375,0.9216300940438872,0.7402190923317684,0.9380077510156891,0.6635367762128326,639,639,320,319
bowphs/PhilTa,ff1,sif,1,sif_abtt_fixed,10,0.001,0.3417085427135678,0.9553675786198292,0.052029161337785415,0.5210015773773193,0.0010602938709780574,0.5199412835063413,0.8278560250391236,0.9546165884194053,0.8875,0.8181818181818182,0.8528951486697965,0.9848504759124738,0.8419405320813772,639,639,320,319
bowphs/PhilTa,ff1,sif,1,sif_abtt_optimal,5,0.001,0.36683417085427134,0.955940942342015,0.052094672443554195,0.5290366411209106,0.0009910410735756159,0.528045600047335,0.8231611893583725,0.9436619718309859,0.871875,0.8275862068965517,0.8497652582159625,0.9863855255426868,0.8184663536776213,639,639,320,319
bowphs/PhilTa,ff1,sif,2,sif_only,10,0.001,0.8040201005025126,0.9307208693820455,0.049213089944971145,0.7526265978813171,0.4488378167152405,0.30378878116607666,0.7198748043818466,0.8794992175273866,0.603125,0.896551724137931,0.7496087636932708,0.9318225594027976,0.6885758998435054,639,639,320,319
bowphs/PhilTa,ff1,sif,2,sif_abtt_fixed,10,0.001,0.34673366834170855,0.9671987082923685,0.05338095664215542,0.5050707459449768,0.001766009139828384,0.5033047368051484,0.8482003129890454,0.9546165884194053,0.89375,0.8557993730407524,0.8748043818466353,0.9838333419028978,0.8262910798122066,639,639,320,319
bowphs/PhilTa,ff1,sif,2,sif_abtt_optimal,2,0.001,0.4321608040201005,0.9645490745854661,0.053078216117587854,0.5275956392288208,0.0015612714923918247,0.526034367736429,0.8075117370892019,0.9420970266040689,0.815625,0.8495297805642633,0.8325508607198748,0.9864858850061764,0.7856025039123631,639,639,320,319
bowphs/PhilTa,ff1,sif,3,sif_only,10,0.001,0.8341708542713568,0.9125255749465672,0.047134141082078064,0.7488107681274414,0.4810349643230438,0.2677758038043976,0.6791862284820032,0.9045383411580594,0.459375,0.9498432601880877,0.704225352112676,0.9209948129227989,0.6165884194053208,639,639,320,319
bowphs/PhilTa,ff1,sif,3,sif_abtt_fixed,10,0.001,0.3165829145728643,0.9695661509490279,0.05365145472266098,0.47662800550460815,0.0010936001781374216,0.47553440532647073,0.8184663536776213,0.9420970266040689,0.884375,0.7962382445141066,0.8403755868544601,0.9841958655677331,0.8278560250391236,639,639,320,319
bowphs/PhilTa,ff1,sif,3,sif_abtt_optimal,3,0.001,0.4271356783919598,0.9655753465368481,0.05319547538557699,0.49922555685043335,0.0011800078209489584,0.4980455490294844,0.8341158059467919,0.9483568075117371,0.79375,0.9278996865203761,0.8607198748043818,0.9846879631205854,0.7809076682316118,639,639,320,319
bowphs/PhilTa,ff1,sif,4,sif_only,10,0.001,0.9246231155778895,0.8096397157400796,0.035378659973265794,0.7886806726455688,0.6287072896957397,0.1599733829498291,0.5336463223787168,0.7981220657276995,0.171875,0.9341692789968652,0.5524256651017214,0.8121810633930793,0.40688575899843504,639,639,320,319
bowphs/PhilTa,ff1,sif,4,sif_abtt_fixed,10,0.001,0.3417085427135678,0.9714889037815682,0.05387114365536993,0.49869024753570557,0.0009813111973926425,0.4977089363383129,0.8278560250391236,0.9561815336463224,0.88125,0.8213166144200627,0.8513302034428795,0.9888590288367727,0.8356807511737089,639,639,320,319
bowphs/PhilTa,ff1,sif,4,sif_abtt_optimal,7,0.001,0.35678391959798994,0.9690993278428635,0.0535981166813801,0.5043905377388,0.0009316487703472376,0.5034588889684528,0.8278560250391236,0.9483568075117371,0.878125,0.8244514106583072,0.8513302034428795,0.9891911234478045,0.837245696400626,639,639,320,319
bowphs/PhilTa,ff1,sif,5,sif_only,10,0.001,0.8190954773869347,0.9151944771079036,0.047439083172087254,0.7413852214813232,0.472819447517395,0.2685657739639282,0.6447574334898278,0.8841940532081377,0.46875,0.890282131661442,0.6791862284820032,0.924950797152559,0.6103286384976526,639,639,320,319
bowphs/PhilTa,ff1,sif,5,sif_abtt_fixed,10,0.001,0.32160804020100503,0.9632343288730953,0.0529279965587108,0.5014836192131042,0.0009792729979380965,0.5005043462151662,0.8137715179968701,0.9405320813771518,0.89375,0.7774294670846394,0.8356807511737089,0.9909864261091275,0.8544600938967136,639,639,320,319
bowphs/PhilTa,ff1,sif,5,sif_abtt_optimal,5,0.001,0.3969849246231156,0.9717540164772496,0.05390143476932717,0.5238553881645203,0.0008589021163061261,0.5229964860482141,0.8497652582159625,0.9405320813771518,0.871875,0.8683385579937304,0.8701095461658842,0.9918202086634083,0.8341158059467919,639,639,320,319
bowphs/PhilTa,ff1,sif,6,sif_only,10,0.001,0.7537688442211056,0.9245844750058503,0.04851196086151718,0.7117536664009094,0.4018825590610504,0.309871107339859,0.7464788732394366,0.9045383411580594,0.634375,0.9184952978056427,0.7762128325508607,0.9470030766847385,0.702660406885759,639,639,320,319
bowphs/PhilTa,ff1,sif,6,sif_abtt_fixed,10,0.001,0.3165829145728643,0.9733897777376037,0.05408833276233465,0.5079478621482849,0.0006025736802257597,0.5073452884680592,0.8419405320813772,0.9483568075117371,0.9125,0.8244514106583072,0.8685446009389671,0.9885981425866086,0.8763693270735524,639,639,320,319
bowphs/PhilTa,ff1,sif,6,sif_abtt_optimal,3,0.001,0.4371859296482412,0.9666686488176625,0.053320393371464526,0.5310843586921692,0.0008780297939665616,0.5302063288982026,0.8497652582159625,0.9530516431924883,0.84375,0.9122257053291536,0.8779342723004695,0.9910400885456683,0.8231611893583725,639,639,320,319
bowphs/PhilTa,ff1,sif,7,sif_only,10,0.001,0.7839195979899498,0.9378070813140723,0.05002274280827546,0.7348455190658569,0.39897027611732483,0.3358752429485321,0.758998435054773,0.9311424100156495,0.590625,0.9717868338557993,0.7809076682316118,0.9531168239187515,0.7136150234741784,639,639,320,319
bowphs/PhilTa,ff1,sif,7,sif_abtt_fixed,10,0.001,0.35175879396984927,0.9680583446145599,0.05347917653966078,0.5093249678611755,0.0007006075466051698,0.5086243603145704,0.863849765258216,0.9530516431924883,0.890625,0.8840125391849529,0.8873239436619719,0.9866178248308402,0.8575899843505478,639,639,320,319
bowphs/PhilTa,ff1,sif,7,sif_abtt_optimal,3,0.001,0.45226130653266333,0.9738864658420299,0.05414508310367001,0.5402962565422058,0.0005878493539057672,0.5397084071883,0.8779342723004695,0.9561815336463224,0.85625,0.9467084639498433,0.9014084507042254,0.9888022924095525,0.8309859154929577,639,639,320,319
bowphs/PhilTa,ff1,sif,8,sif_only,10,0.001,0.7587939698492463,0.9376117531643293,0.05000042510210617,0.7228842973709106,0.3747423589229584,0.34814193844795227,0.7683881064162754,0.9327073552425665,0.653125,0.9310344827586207,0.7918622848200313,0.9494282077996515,0.7198748043818466,639,639,320,319
bowphs/PhilTa,ff1,sif,8,sif_abtt_fixed,10,0.001,0.32663316582914576,0.9601139121824813,0.05257146554715045,0.5091385841369629,0.0008412634488195181,0.5082973206881434,0.8466353677621283,0.9561815336463224,0.903125,0.8463949843260188,0.8748043818466353,0.991503685484563,0.8482003129890454,639,639,320,319
bowphs/PhilTa,ff1,sif,8,sif_abtt_optimal,10,0.001,0.32663316582914576,0.9601139121824813,0.05257146554715045,0.5091385841369629,0.0008412634488195181,0.5082973206881434,0.8466353677621283,0.9561815336463224,0.903125,0.8463949843260188,0.8748043818466353,0.991503685484563,0.8482003129890454,639,639,320,319
